,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccruedInvestmentIncomeReceivable,Assets,AssetsFairValueDisclosure,AssetsNet,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ClassOfWarrantOrRightUnissued,ContractualObligation,CurrentIncomeTaxExpenseBenefit,CustodyFees,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxesAndTaxCredits,DeferredIncomeTaxLiabilities,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilities,DeferredTaxLiabilitiesOther,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxesPaid,IncreaseDecreaseInAccruedInvestmentIncomeReceivable,IncreaseDecreaseInDeferredIncomeTaxes,LegalFees,Liabilities,LiquidationBasisOfAccountingAccruedCostsToDisposeOfAssetsAndLiabilities,LiquidationBasisOfAccountingRemeasurementGainLossOnAccruedCostsToDisposeOfAssetsAndLiabilities,LiquidationBasisOfAccountingRemeasurementGainLossOnAsset,LitigationSettlementAmountAwardedToOtherParty,LitigationSettlementExpense,LossContingencyAccrualPayments,LossContingencyAccrualProvision,LossContingencyEstimateOfPossibleLoss,MarketableSecurities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,OperatingLossCarryforwards,OtherAssets,OtherAssetsMiscellaneous,PaymentsToAcquireMarketableSecurities,ProceedsFromContributionsFromAffiliates,ProceedsFromDividendsReceived,ProceedsFromInterestAndDividendsReceived,ProceedsFromInterestReceived,ProceedsFromSaleAndMaturityOfMarketableSecurities,ValuationAllowanceDeferredTaxAssetChangeInAmount,y
0,26276000,700000.0,1657891000,1655229000.0,2145973000.0,226000.0,226000.0,16453000.0,79256.0,13715000.0,0.0,51000.0,-108583000.0,411600000.0,142659000.0,34076000.0,-164845000.0,40195000.0,9537000.0,18300000.0,108583000.0,1875000.0,0.35,-108583000.0,108583000.0,0.0,6000000.0,411600000.0,6700000.0,288652000,61513000.0,-7910000.0,-702654000.0,15000000.0,2000000.0,48000000.0,14800000.0,0.0,86571000,52734000.0,0.0,-50916000.0,-1592000.0,272300000,665000.0,2662000.0,137108000.0,52734000.0,9200000.0,69000.0,26000.0,86192000.0,49200000.0,0
1,26276000,1000000.0,1657891000,1655229000.0,2145973000.0,75000.0,75000.0,1197000.0,,13715000.0,,75000.0,108583000.0,411600000.0,55371000.0,49152000.0,0.0,137246000.0,12672000.0,49152000.0,108583000.0,1434000.0,,108583000.0,108583000.0,0.0,10400000.0,,,288652000,35228000.0,4135000.0,112911000.0,15000000.0,2000000.0,,14800000.0,13720000.0,86571000,52734000.0,0.0,-48101000.0,-4558000.0,84500000,665000.0,2662000.0,204174000.0,52734000.0,13800000.0,98000.0,47000.0,156073000.0,49200000.0,0
2,26276000,1400000.0,1657891000,1655229000.0,1173638000.0,1433000.0,1433000.0,-39209000.0,,13715000.0,0.0,24000.0,108583000.0,-411600000.0,236624000.0,35053000.0,0.0,122619000.0,15571000.0,103867000.0,108583000.0,1409000.0,0.35,88265000.0,88265000.0,0.0,17400000.0,,,288652000,36486000.0,2291000.0,181941000.0,15000000.0,2000000.0,,14800000.0,,86571000,96113000.0,360000.0,-78191000.0,-16489000.0,84500000,665000.0,2662000.0,301356000.0,62306000.0,17200000.0,,31000.0,223165000.0,103900000.0,0
3,26276000,1100000.0,1657891000,1655229000.0,1173638000.0,38396000.0,38396000.0,-35849000.0,,13715000.0,0.0,97000.0,,,205040000.0,44267000.0,0.0,49084000.0,19263000.0,71197000.0,108583000.0,133000.0,,-20318000.0,-20318000.0,,11400000.0,,,288652000,36486000.0,7335000.0,29371000.0,15000000.0,2000000.0,,14800000.0,,86571000,136346000.0,,-75103000.0,-22847000.0,84500000,540000.0,2662000.0,340828000.0,62306000.0,20600000.0,31000.0,83000.0,265725000.0,103867000.0,0
4,10136000,3400000.0,1154632000,1152008000.0,1100899000.0,38396000.0,,,,48000000.0,0.0,22000.0,88265000.0,164800000.0,,40195000.0,0.0,,18212000.0,,20318000.0,133000.0,0.35,83774000.0,83774000.0,0.0,18800000.0,,,147266000,36486000.0,3200000.0,-83540000.0,50000000.0,,,14800000.0,,83208000,,,,,83900000,118000.0,2624000.0,,,24700000.0,83000.0,,,103900000.0,0
5,12927000,3400000.0,1331345000,1329280000.0,1369239000.0,38396000.0,-38060000.0,,,48000000.0,,210000.0,,,368774000.0,,0.0,78186000.0,,40895000.0,192357000.0,133000.0,,172039000.0,172039000.0,,,,,180638000,34680000.0,9375000.0,-56241000.0,,,,14800000.0,,75045000,-13715000.0,,-8118000.0,-16227000.0,83800000,,2065000.0,63521000.0,,24700000.0,133000.0,,55403000.0,,0
6,6695000,3400000.0,1752530000,1750471000.0,1369239000.0,38396000.0,,,,48000000.0,0.0,,-20318000.0,,137246000.0,37759000.0,,5690000.0,18909000.0,112469000.0,164845000.0,,,-56262000.0,56262000.0,0.0,,,,366804000,33347000.0,2331000.0,127008000.0,,,,,,64714000,,,,,85200000,,1908000.0,,,24700000.0,,,,103900000.0,0
7,6782000,3400000.0,1670731000,1668260000.0,1369239000.0,,-35982000.0,,,48000000.0,,35000.0,,,154802000.0,241113000.0,0.0,39948000.0,226419000.0,79762000.0,164845000.0,,0.396,,,,,,,280550000,33347000.0,10298000.0,175229000.0,,,,,,76796000,-13708000.0,,44000.0,-22318000.0,86200000,,1815000.0,99721000.0,,,151000.0,,99765000.0,,0
8,6782000,,1670731000,1668260000.0,1369239000.0,,,,,,,,83774000.0,,49084000.0,120281000.0,0.0,82327000.0,107812000.0,35966000.0,164845000.0,,0.35,0.0,,0.0,,,,280550000,32632000.0,,,,,,,,76796000,,,,,86600000,,1815000.0,,,24700000.0,,,,,0
9,6782000,4500000.0,1670731000,1668260000.0,,,-37823000.0,,,,,64000.0,,,,,0.0,,106867000.0,,164845000.0,,,166170000.0,,,,,,280550000,30055000.0,7967000.0,48221000.0,,,,,,76796000,-13701000.0,,10376000.0,-34498000.0,92900000,,1815000.0,150717000.0,,,25000.0,,161093000.0,-103900000.0,0
10,6782000,6500000.0,1670731000,1668260000.0,,,,,,,0.0,,172039000.0,,78186000.0,119081000.0,0.0,21724000.0,,98015000.0,,,,-166170000.0,,0.0,,,,280550000,,,,,,,,,76796000,,,,,97300000,,1815000.0,,,,,,,-103900000.0,0
11,7431000,16700000.0,2071502000,2069148000.0,,,,,,,0.0,,-56262000.0,,39948000.0,119710000.0,0.0,468000.0,106473000.0,119135000.0,32183000.0,,,,,,,,,446785000,31278000.0,-2474000.0,175229000.0,,,,,,69689000,,,,,106000000,,1714000.0,,,,50000.0,,,71200000.0,0
