,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccretionExpense,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AllocatedShareBasedCompensationExpenseNetOfTax,AreaOfLand,AreaOfRealEstateProperty,Assets,AssetsCurrent,AssetsHeldForSaleLongLived,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ComprehensiveIncomeNetOfTax,ConversionOfStockSharesIssued1,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CurrentFederalTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionOriginalDebtAmount1,DebtInstrumentDecreaseForgiveness,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountPremiumNet,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration,DeferredTaxAssetsOther,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsOther,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,DeferredTaxAssetsTaxDeferredExpenseOther,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther,DeferredTaxAssetsValuationAllowance,DepositsAssetsCurrent,DerivativeFairValueOfDerivativeLiability,DerivativeGainLossOnDerivativeNet,DerivativeLiabilities,DerivativeLossOnDerivative,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DisposalGroupIncludingDiscontinuedOperationLongLivedAssets,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationDeductionsOther,EffectOfExchangeRateOnCash,EquityIssuancePerShareAmount,ForeignCurrencyTransactionGainLossBeforeTax,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,InterestExpenseDebt,InterestExpenseRelatedParty,InterestPaid,InterestPayableCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationSharesIssued1,NotesIssued1,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherExpenses,OtherLiabilitiesCurrent,OtherNonoperatingExpense,OtherNonrecurringIncomeExpense,OtherReceivables,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseNoncurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfDebt,ProceedsFromNotesPayable,ProceedsFromOtherDebt,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionRate,RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,SharePrice,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,UnrecognizedTaxBenefitsIncreasesResultingFromSettlementsWithTaxingAuthorities,UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,y
0,1372,75907.0,104345.0,9437.0,613675.0,613675.0,41212.0,10476.0,4155467.0,68400.0,2.55,67000.0,1200.0,524255.0,0.0,0.0,0.0,0.0,0.0,0.001,50000000.0,1325062.0,1325062.0,1325.0,26501.0,-6723.0,0.0,502426.0,238627.0,0.0,0.0,0.0,146309.0,0.0,0.0,0.1,0.0,69272.0,-2732.0,0.0,706537.0,240222.0,38250.0,92268.0,1412859.0,14518914.0,67796.0,9437.0,3209.0,-243431.0,33000.0,0.0,0.0,1804169.0,100812140.0,-77194.0,0.0,75907.0,-0.01,0.34,0.34,0.34,-15368.0,0.25,-576.0,4733.0,-3475.0,-8636.0,-4733.0,-14330.0,0.0,0.0,0.0,2732.0,-2732.0,6427.0,0.0,7264.0,33000.0,4733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072000.0,77279.0,1200.0,77279.0,7437.0,0.0,-6488.0,120000.0,0.0,176057.0,0.0,116529.0,9467.0,-7437.0,2732.0,-568.0,6893.0,145578.0,107784.0,0.0,294500.0,0.001,5000000.0,0.0,0.0,0.0,1200.0,1200.0,10476.0,0.0,1306170.0,87755.0,171323.0,7437.0,29961272.0,-32564.0,1350.0,0.1,4125.0,-613885.0,0.0,0.0,9467.0,0.0,20.4,1115.0,43904.0,5000.0,125000.0,162500.0,488310.0,208456.0,199400.0,0.0,0.0,0.0,0.0,0.0,6427.0,0.0,1325062.0,1325062.0,1325062.0,0
1,1372,84114.0,602889.0,514.0,613675.0,613675.0,,107784.0,,1762352.0,,,1200.0,,,0.0,,0.0,0.0,0.001,50000000.0,1325062.0,1325062.0,1325.0,26501.0,,,,,0.0,0.0,0.0,,145315.0,9603.0,,505000.0,,-6427.0,,,,12382.0,,,,,,,243431.0,33000.0,0.0,-229632.0,1212999.0,,77194.0,,75907.0,,0.34,,,,,,958.0,-5050.0,-3475.0,-958.0,-4073.0,,0.0,0.0,6427.0,-6427.0,127993.0,0.0,3647.0,,5783.0,0.0,,0.0,239434.0,0.0,0.0,0.0,,1215042.0,77279.0,1200.0,77279.0,0.0,0.0,-7905.0,120000.0,125000.0,176057.0,125000.0,,4125.0,-1585.0,6427.0,,2488.0,145578.0,,0.0,,0.001,5000000.0,0.0,0.0,0.0,0.0,1200.0,,1360000.0,,87755.0,,9467.0,,,,0.1,,-613885.0,0.0,,4125.0,,2.04,,43904.0,,,,,,,0.0,0.0,0.0,0.0,0.0,127993.0,0.0,1325062.0,1325062.0,1325062.0,0
2,1372,84114.0,1286801.0,,613675.0,613675.0,,,,1339657.0,,,1200.0,1070465.0,,0.0,0.0,0.0,0.0,0.001,50000000.0,1325062.0,1325062.0,1325.0,26501.0,-32320.0,0.0,,,232647.0,,,,603978.0,,,,,6427.0,0.0,,,17151.0,,,,,,,368215.0,64250.0,389397.0,,389397.0,,77194.0,,81129.0,-0.01,,,,,,-35062.0,5783.0,-1575.0,-5050.0,-5783.0,-157541.0,0.0,,0.0,-127993.0,,,1372.0,5222.0,,63921.0,0.0,294500.0,0.0,206848.0,,0.0,0.0,162500.0,143042.0,77279.0,1200.0,77279.0,,0.0,-14696.0,120000.0,,166605.0,146309.0,,,-9467.0,706537.0,,9437.0,2822.0,,,,0.001,5000000.0,0.0,0.0,0.0,,0.0,,1515000.0,,87755.0,,146309.0,8250000.0,,,0.1,,-613885.0,0.0,0.0,,68400.0,2.04,,43904.0,,,42702687.0,,,,0.0,,,,,16998435.0,0.0,,,,0
3,0,84114.0,2392373.0,,613675.0,613675.0,,,,3096609.0,,,0.0,148818.0,,0.0,0.0,0.0,0.0,0.001,50000000.0,1325062.0,1325062.0,1325.0,27151.0,-25597.0,,,,5749937.0,,0.0,,,,,,,-127993.0,0.0,,,14274.0,,,,,,,,,389397.0,523602.0,389397.0,,82244.0,,82079.0,,,,,,,-29841.0,1050.0,-6625.0,-1575.0,-1050.0,-53408.0,,,0.0,19217294.0,,-19217294.0,-1372.0,6172.0,,5222.0,0.0,,1200.0,,0.0,0.0,0.0,,1444200.0,81129.0,0.0,81129.0,146309.0,0.0,-4733.0,120000.0,271309.0,,116529.0,,27085.0,-4125.0,1073579.0,,2598.0,,,0.0,,0.001,5000000.0,0.0,0.0,0.0,,0.0,,1727000.0,,,,62331.0,,-6488.0,,0.1,,-613885.0,,,27085.0,,2.04,-31449.0,43904.0,,,,,,,,,,,,,,,1325062.0,,0
4,625,84114.0,,,613675.0,,,,,1334257.0,,,0.0,112624.0,,,0.0,,0.0,0.001,50000000.0,1325062.0,1325062.0,1325.0,27151.0,-53408.0,43904.0,,,5749937.0,,,,,,,,,127993.0,,,,529784.0,,,,,,,19585509.0,,104369996.0,753234.0,104369996.0,,83819.0,,116529.0,-0.01,,,,,,39767.0,8636.0,-1575.0,-6625.0,-82244.0,-21088.0,0.0,,0.0,,,,-427.0,66906.0,,64871.0,1349.0,,-18750.0,,,0.0,1349.0,29324800.0,229158.0,82704.0,0.0,82704.0,62331.0,0.0,-958.0,,146309.0,,116529.0,,22960.0,,,,,,,,,0.001,5000000.0,0.0,0.0,0.0,,,,314839.0,,,,,,,,,,-613885.0,0.0,0.0,22960.0,,,,,,,,,,,,,,,,,,,,,0
5,0,,,,,,,,,4354867.0,,,0.0,112624.0,,,0.0,0.0,,0.001,50000000.0,1325062.0,1325062.0,1325.0,27151.0,-21088.0,,,,7603402.0,,0.0,,,,,,,-19217294.0,,,,32564.0,,,,,,,,,,1559423.0,,,85229.0,,164552.0,-0.01,,,,,,8922.0,3475.0,-8035.0,-1575.0,-5050.0,,0.0,,,,,,-1372.0,8207.0,,6172.0,,,1200.0,,0.0,,4405.0,,1578009.0,84114.0,0.0,84114.0,,,-5783.0,,,,116529.0,,47659.0,-27085.0,10266101.0,35062.0,15186.0,,,0.0,,0.001,5000000.0,0.0,0.0,0.0,,,,,,,,10476.0,43542.0,,,,,-613885.0,,,47659.0,,,,,,,,,,,,,,,,,,,1325062.0,,0
6,0,88616.0,,,613675.0,,,,,1244797.0,,,,73648.0,,0.0,0.0,,,,,,,,27151.0,-376449.0,,,,,,,,,,,,,,,,,6488.0,,,,,,,,,,-100812140.0,,,85229.0,,164552.0,-0.06,,,,,,,82244.0,-89731.0,-85229.0,-1575.0,,0.0,,,,,,,,,,,,-1200.0,,1349.0,,6893.0,29162300.0,47573.0,84114.0,,84114.0,20079.0,,-1050.0,,4450000.0,,116529.0,,20574.0,-22960.0,,35630.0,5749.0,,,-1349.0,,,,,,,,,,,,,,,,-7905.0,,,,,0.0,,20574.0,,,-37937.0,,,,,,,,,,,,,,,,1325062.0,,0
7,0,91551.0,,,613675.0,,,,,,,,0.0,,,0.0,0.0,,,0.001,50000000.0,1325062.0,1325062.0,1325.0,,,,,,,,,,,,,,,,,,,14696.0,,,,,,,,,,,,,85229.0,,,,,,,,,,,,,-6625.0,,,,,,,,-747.0,4502.0,,,,,1200.0,,,,9437.0,1000000.0,,84114.0,0.0,84114.0,,,-3475.0,,,,,,367042.0,-47659.0,,-5221.0,18844.0,,,,,0.001,5000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,-613885.0,,,367042.0,185400.0,,,,,,,,,,,,,,,,,,,,0
8,0,93581.0,,,613675.0,,,,,,,,0.0,,,0.0,0.0,,0.0,0.001,50000000.0,1325062.0,1325062.0,1325.0,,,,,,,,,,,,,,,,,,,8636.0,,,,,,,,,,,,,91080.0,,,,,,,,,,,-5852.0,-5851.0,,,,,0.0,,,,-427.0,72758.0,,,6893.0,,18750.0,,,0.0,,,,89965.0,0.0,89965.0,,0.0,-5050.0,,,,,,30856845.0,-20574.0,,8922.0,18844.0,,,,,0.001,5000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,-613885.0,,,895573.0,540.0,,,,,,,,,,,,,,,,,,,,0
9,0,93581.0,,,,,,,,,,,0.0,,,0.0,,,,0.001,50000000.0,1325062.0,1325062.0,1325.0,42587.0,,,,,,,,,,,,,,,,,,8035.0,,,,,,,,,,,,,95486.0,,,-0.06,,,,,,,83819.0,,,,,0.0,,,,,,-1372.0,5852.0,,,,,1200.0,,,,12035.0,,,94371.0,0.0,94371.0,567425.0,,,,,,160380.0,,,,,,,,,4405.0,,0.001,5000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,-613885.0,,,,,,,,,,,,,,,,,,,,,,,,0
