,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccountsReceivableRelatedParties,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,Assets,AssetsCurrent,AssetsHeldForSaleCurrent,CapitalLeaseObligationsCurrent,CapitalLeaseObligationsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsSold,CustomerAdvancesAndDeposits,CustomerRefundLiabilityCurrent,DebtAndCapitalLeaseObligations,DeferredOtherTaxExpenseBenefit,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationExpense,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations38,EffectiveIncomeTaxRateContinuingOperations39,GainLossOnDispositionOfAssets,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInPrepaidExpense,InterestAndDebtExpense,InterestExpense,InterestPaid,InventoriesPropertyHeldForSaleCurrent,LeaseholdImprovementsGross,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LiabilitiesOfAssetsHeldForSale,LineOfCreditFacilityIncreaseDecreaseForPeriodNet,LinesOfCreditCurrent,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetRegulatoryAssets,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherIncome,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpense,PrepaidExpenseCurrent,ProceedsFromDivestitureOfInterestInConsolidatedSubsidiaries,ProceedsFromLongTermCapitalLeaseObligations,ProceedsFromRelatedPartyDebt,PropertyPlantAndEquipmentNet,ReductionOfShortTermCapitalLeaseObligations,RepaymentsOfNotesPayable,RepaymentsOfOtherDebt,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesReturnsAndAllowancesGoods,StockholdersEquity,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueOther,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic,y
0,33028,22047.0,88463.0,47788.0,73050.0,-10645.0,265563.0,0.0,19930.0,0.0,262664.0,253576.0,354880.0,3336.0,1116.0,114494.0,134959,-45.0,-19244.0,0.001,50000000.0,5429000.0,5429000.0,5429.0,171973.0,33462.0,6845.0,1116.0,0.0,0.0,85430.0,-59696.0,2152.0,2152.0,17469.0,22047.0,35779.0,-0.01,25.0,25.0,0.0,146642.0,140352.0,-22067.0,0.0,101082.0,0.02,0.0,25685.0,0.0,-24320.0,7823.0,-2306.0,1627.0,5900.0,0.0,4300.0,-2813.0,2813.0,57464.0,1406.0,248790.0,262664.0,211895.0,36895.0,204452.0,4863.0,29503.0,18327.0,-11388.0,0.0,-7856.0,-31185.0,35018.0,168724.0,-28372.0,154182.0,-2813.0,0.0,0.001,20000000.0,0.0,0.0,0.0,0.0,5852.0,0.0,0.0,0.0,9088.0,-1668.0,-3633.0,-3145.0,-2942.0,-257118.0,312325.0,1905.0,13874.0,0.0,0.0,-25734.0,5429000.0,3939000.0,5081028.0,0
1,33028,22047.0,88463.0,47788.0,73050.0,-10645.0,265563.0,,7303.0,4920.0,262664.0,253576.0,354880.0,3336.0,1116.0,121044.0,134959,0.0,-65481.0,0.001,50000000.0,5429000.0,5429000.0,5429.0,101782.0,33462.0,6845.0,282.0,0.0,0.0,85430.0,-59696.0,3228.0,1075.0,17469.0,22047.0,35779.0,0.0,25.0,,,66135.0,75144.0,-9649.0,,59233.0,0.01,0.0,46473.0,0.0,-99497.0,31601.0,-5458.0,-1769.0,0.0,0.0,4300.0,-1813.0,4111.0,57464.0,1406.0,248790.0,262664.0,211895.0,36895.0,204452.0,7291.0,29503.0,18327.0,-25595.0,0.0,-39886.0,-1182.0,46662.0,74513.0,631.0,154000.0,-1813.0,-63300.0,0.001,20000000.0,0.0,0.0,0.0,0.0,5042.0,0.0,63300.0,0.0,9088.0,-2502.0,-19948.0,-3145.0,6925.0,-257118.0,176926.0,0.0,13874.0,0.0,0.0,-25734.0,,3939000.0,5236544.0,0
2,33028,22047.0,88463.0,47788.0,73050.0,-10645.0,265563.0,,28098.0,-11167.0,262664.0,253576.0,354880.0,3336.0,1116.0,119041.0,134959,,-19306.0,0.001,50000000.0,5429000.0,5429000.0,5429.0,350762.0,33462.0,6845.0,,0.0,0.0,85430.0,-59696.0,4304.0,3230.0,17469.0,22047.0,35779.0,-0.01,,,0.0,235522.0,244286.0,-22067.0,0.0,101082.0,0.02,0.0,16381.0,0.0,-38692.0,13645.0,-1778.0,0.0,33462.0,0.0,4300.0,-4111.0,4401.0,57464.0,1406.0,248790.0,313884.0,211895.0,36895.0,204452.0,10568.0,29503.0,18327.0,-29852.0,0.0,9387.0,-26675.0,-47488.0,266850.0,-22564.0,154000.0,-4111.0,,0.001,20000000.0,0.0,0.0,0.0,0.0,,-63300.0,,0.0,9088.0,-3336.0,-26516.0,0.0,0.0,-257118.0,595048.0,4735.0,92889.0,0.0,22500.0,-25734.0,5429000.0,,5429000.0,0
3,53209,22047.0,109160.0,47788.0,57126.0,-12727.0,265563.0,,8168.0,-14611.0,313884.0,306878.0,0.0,2784.0,0.0,116451.0,115715,,6550.0,0.001,50000000.0,5429000.0,5429000.0,5429.0,178789.0,0.0,1400.0,,12745.0,0.0,59696.0,-72441.0,1076.0,1078.0,20274.0,36454.0,46049.0,0.0,,,,88880.0,103934.0,-3730.0,,43258.0,0.01,0.0,29028.0,0.0,-19371.0,-13174.0,6679.0,-181.0,-30754.0,-6285.0,4300.0,-1298.0,860.0,71789.0,1406.0,220995.0,323563.0,174946.0,46049.0,0.0,-3357.0,19506.0,18327.0,-7609.0,0.0,-11697.0,4510.0,53783.0,98126.0,5808.0,205000.0,-1298.0,,0.001,20000000.0,0.0,0.0,0.0,6285.0,,-22272.0,0.0,20000.0,7006.0,-834.0,3418.0,0.0,22275.0,-138575.0,282723.0,-5445.0,132417.0,0.0,22500.0,0.0,,,,0
4,68150,21210.0,129284.0,54038.0,37953.0,-13733.0,265563.0,,37009.0,-13414.0,323563.0,317563.0,0.0,1950.0,0.0,116451.0,69478,,,0.001,50000000.0,5429000.0,5429000.0,5429.0,527146.0,0.0,1400.0,,22156.0,0.0,59696.0,-81852.0,2082.0,4811.0,21449.0,46942.0,30647.0,0.0,,,0.0,319560.0,343710.0,-53986.0,-0.01,156922.0,0.03,0.0,20181.0,12972.0,-7283.0,-15924.0,-14325.0,-6285.0,-33462.0,0.0,0.0,-4401.0,1512.0,60851.0,1406.0,191146.0,366574.0,160499.0,30647.0,0.0,-9997.0,9787.0,18327.0,1410.0,0.0,5140.0,-22071.0,67828.0,361380.0,-17670.0,242805.0,-4401.0,,0.001,20000000.0,0.0,0.0,0.0,9787.0,,,,,6000.0,-1668.0,-6925.0,,26017.0,-154182.0,870856.0,,139310.0,22500.0,,0.0,5448315.0,,5429000.0,0
5,265,22047.0,91791.0,47788.0,500.0,-17904.0,265563.0,,9343.0,,366574.0,366574.0,0.0,18904.0,40064.0,116451.0,114494,,4547.0,0.001,50000000.0,5579000.0,5429000.0,5579.0,258731.0,0.0,1400.0,,22362.0,0.0,59696.0,-82058.0,,1360.0,21978.0,47788.0,25253.0,0.01,,,,94345.0,134274.0,-18685.0,0.0,-48411.0,-0.01,,,,,,,0.0,,0.0,0.0,-800.0,,88751.0,1406.0,227264.0,366574.0,227264.0,65317.0,0.0,,6978.0,81627.0,11407.0,,-4857.0,29431.0,77261.0,104043.0,30231.0,243631.0,-800.0,,0.001,20000000.0,0.0,0.0,,5852.0,,-22272.0,,20000.0,65129.0,,-22275.0,,5375.0,-154182.0,393005.0,0.0,139310.0,22500.0,0.0,0.0,5579000.0,,5429000.0,0
6,265,22047.0,91791.0,59038.0,500.0,-17904.0,287913.0,,24778.0,-13413.0,366574.0,366574.0,,1116.0,0.0,116451.0,114494,,,,,5579000.0,5579000.0,5579.0,0.0,,1400.0,,22362.0,,59696.0,-82058.0,3088.0,1005.0,40882.0,,65317.0,0.01,,,0.0,22067.0,0.0,-23900.0,-0.01,-27079.0,-0.01,0.0,35122.0,19037.0,-27408.0,-35097.0,-3387.0,-14946.0,-33462.0,,0.0,-1512.0,2546.0,88751.0,1406.0,227264.0,366574.0,227264.0,65317.0,,-19716.0,6978.0,81627.0,-24493.0,0.0,29040.0,79015.0,-84444.0,22067.0,80527.0,243631.0,-1512.0,,,,,,,,,,,,65129.0,-2502.0,-26017.0,,23019.0,-154182.0,0.0,,139310.0,0.0,26000.0,,5579000.0,,5429000.0,0
7,265,,135227.0,61828.0,500.0,-22075.0,287913.0,,15435.0,,366574.0,366574.0,,19568.0,34916.0,,114494,,1957.0,,,5579000.0,5579000.0,5579.0,497207.0,,1400.0,,22362.0,,,-82058.0,,3088.0,21567.0,,20288.0,,,,,189217.0,295882.0,,0.0,,0.0,,,,,,,,,,0.0,-712.0,2456.0,86551.0,1406.0,263064.0,366574.0,227264.0,55204.0,,,8491.0,81627.0,-4777.0,,9324.0,92889.0,96751.0,214355.0,50926.0,243631.0,-712.0,,,,,,0.0,,,-22272.0,,20000.0,60958.0,,5375.0,,,-154182.0,793089.0,-5455.0,139310.0,0.0,26000.0,,,,,0
8,53048,22047.0,,65186.0,37876.0,,287913.0,,41928.0,0.0,366574.0,301445.0,,,,,114494,,-67551.0,0.001,50000000.0,5579000.0,5579000.0,5579.0,,,,,22362.0,0.0,,-82058.0,7259.0,1727.0,65186.0,,,,,,56651.0,9649.0,,-5215.0,,21332.0,,0.0,20020.0,19037.0,-3328.0,-35174.0,-31287.0,-5852.0,-33462.0,,,-2456.0,2546.0,,,,335278.0,161947.0,,,-22525.0,,,-27090.0,-63300.0,38167.0,49584.0,,9649.0,120999.0,243631.0,-2456.0,,0.001,20000000.0,0.0,0.0,0.0,,,,,,,-7668.0,,,23019.0,,,-5445.0,72214.0,26000.0,,0.0,,,5429000.0,0
9,53048,,,65186.0,37876.0,,287913.0,,17150.0,,,301445.0,,,,,95188,,,,,,5579000.0,,238476.0,,,,,,,,,7259.0,85542.0,,,,,,56651.0,94872.0,161608.0,,,,,0.0,,29012.0,,35174.0,,,,,,-944.0,5286.0,,,,2449.0,161947.0,,,,,,49615.0,,15642.0,,,111312.0,40472.0,,-944.0,,,,,,0.0,,,0.0,,0.0,,,,,,-221278.0,400084.0,0.0,-35018.0,26000.0,45000.0,,,,,0
