,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNet,AdditionalPaidInCapital,AdjustmentForAmortization,Assets,AssetsCurrent,BusinessCombinationConsiderationTransferred1,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLand,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DeferredTaxAssetsCapitalLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepreciationAndAmortization,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EscrowDepositDisbursementsRelatedToPropertyAcquisition1,ExplorationExpense,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentLossesRelatedToRealEstatePartnerships,ImpairmentOfLongLivedAssetsHeldForUse,ImpairmentOfOngoingProject,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InventoryFinishedGoods,InventoryNet,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,LaborAndRelatedExpense,Land,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesRentExpenseMinimumRentals,OperatingLossCarryforwards,OtherNonoperatingIncomeExpense,PaymentsForProceedsFromRealEstatePartnershipInvestmentNet,PaymentsForRepurchaseOfCommonStock,PaymentsToAcquireBusinessesGross,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireOilAndGasProperty,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRecoveriesOfLoanPreviouslyChargedOff,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromShortTermDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RepaymentsOfRelatedPartyDebt,RepaymentsOfShortTermDebt,RetainedEarningsAccumulatedDeficit,RetainedEarningsUnappropriated,RevenueFromRelatedParties,Revenues,SalariesAndWages,SaleOfStockPricePerShare,ShareBasedGoodsAndNonemployeeServicesTransactionStockholdersEquity,SponsorFees,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockRepurchasedAndRetiredDuringPeriodValue,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,DeferredTaxAssetsNet,EarningsPerShareBasic,EffectiveIncomeTaxRateContinuingOperations,PartnersCapitalAccountPrivatePlacementOfUnits,PartnersCapitalAccountUnitsSoldInPrivatePlacement,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueShareBasedCompensation,TreasuryStockRetiredCostMethodAmount,TreasuryStockSharesRetired,CashEquivalentsAtCarryingValue,ProceedsFromIssuanceOfMediumTermNotes,DebtInstrumentDecreaseForgiveness,StockIssuedDuringPeriodValueConversionOfUnits,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,y
0,19037,5032.0,3317739.0,4096.0,1314114.0,682149.0,1005378.0,1005378.0,378.0,591000.0,414000.0,0.0,1238600.0,91.0,0.001,27000.0,290000000.0,41029000.0,41029000.0,27000.0,41029.0,193.0,5000.0,100000000.0,1137408.0,1137408.0,0.0,11982.0,-0.01,0.34,50000.0,0.0,51322.0,555.0,79420.0,631965.0,419258.0,0.0,-668471.0,668471.0,-11201.0,5032.0,45856.0,-2118.0,0.0,0.0,0.0,2118.0,19174.0,0.0,120000.0,37260.0,591000.0,43499.0,1314114.0,43499.0,12480.0,1816975.0,-348780.0,-229596.0,64551.0,-338395.0,338395.0,-338395.0,115600.0,115600.0,10.0,3345317.0,0.0,100000.0,2000.0,300000.0,-299622.0,0.0,-49158.0,0.001,10000000.0,0.0,0.0,0.0,249316.0,1822001.0,20580.0,0.0,2082001.0,28700.0,36200.0,-338395.0,40965.0,0.0,-33725.0,-2115153.0,3623027.0,33031.0,0.0,0.0,0.2,441000.0,82585.0,-24649.0,5000.0,1000000.0,705378.0,5000.0,15992.0,441717.0,2057001.0,25000.0,-2000.0,2000.0,227432671.0,38062182.0,746252.0,0.0,0.21,5299.0,10597222.0,438454.0,45173.0,2000.0,15000000.0,143.0,91529.0,11849.0,12138888.0,143.0,0
1,19037,5032.0,3317739.0,,1314114.0,682149.0,1005378.0,1005378.0,378.0,591000.0,414000.0,2448.0,995694.0,767.0,0.001,27000.0,290000000.0,41029000.0,41029000.0,,41029.0,,5000.0,100000000.0,1137408.0,1137408.0,,11982.0,,0.34,,,41565.0,555.0,,631965.0,,0.0,-16019.0,16019.0,-15565.0,,,,-249316.0,,0.0,,19174.0,,518717.0,,591000.0,54516.0,1314114.0,,12480.0,2091443.0,-398780.0,-696969.0,74643.0,-284088.0,284088.0,-284088.0,,,,3345317.0,,,,300000.0,299622.0,-79420.0,49158.0,0.001,10000000.0,0.0,0.0,0.0,249316.0,2139001.0,,14467.0,,332225.0,12150.0,-2586240.0,40965.0,-11982.0,337250.0,-2115153.0,,58689.0,,,,,,1270615.0,5000.0,1000000.0,705378.0,,4370.0,45173.0,,,,,182735.0,38601374.0,777466.0,0.0,0.21,5299.0,10597222.0,438454.0,,2000.0,15000000.0,143.0,91529.0,,11848966.0,357.0,0
2,19037,5032.0,3317739.0,4096.0,1314114.0,682149.0,1005378.0,1005378.0,378.0,591000.0,414000.0,,430385.0,94.0,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,5000.0,100000000.0,1137408.0,1137408.0,4096.0,11982.0,,0.34,,17400.0,,-281.0,,,,,,,-3035.0,,,11044.0,-138593.0,308.0,,11044.0,19174.0,,,9700.0,591000.0,,1314114.0,7000.0,12480.0,2101438.0,-428200.0,-1242853.0,,,,,,,,3345317.0,,,6000.0,,299622.0,,49158.0,0.001,10000000.0,0.0,0.0,,249316.0,15991.0,,11982.0,-11982.0,359173.0,,-21064.0,40965.0,,351718.0,-2115153.0,,,,,,,,,,1000000.0,705378.0,15992.0,,11848.0,,,,,,,777466.0,,0.21,5299.0,10597222.0,438454.0,,2000.0,15000000.0,3460.0,65180.0,,,7.0,0
3,40613,,3317739.0,8193.0,854044.0,230272.0,,,,,,2448.0,-185989.0,784.0,0.001,,290000000.0,41029000.0,41029000.0,,41029.0,1561.0,,,,,16386.0,1423.0,-0.02,0.34,,0.0,57734.0,255.0,,,,,,,63691.0,5032.0,,,21576.0,-783.0,,11044.0,19174.0,,,16151.0,591000.0,,854044.0,7000.0,12480.0,-11982.0,-428200.0,-174007.0,,-788105.0,788525.0,-788525.0,,,,3345317.0,,,,,-299622.0,,-49158.0,0.001,10000000.0,0.0,,,138593.0,,,30819.0,-11982.0,364198.0,265203.0,-86533.0,32772.0,,-351718.0,-2586240.0,,,,34000.0,,,,1270615.0,5000.0,,,15991.0,,,,,,,,40452696.0,777466.0,0.0,0.21,,,,,,,1293.0,87462.0,,,,0
4,7000,,3317739.0,,0.0,2118.0,,,,,,1241048.0,91679.0,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,1137408.0,1137408.0,8193.0,29419.0,,0.34,,,,,,,,,,,40613.0,,,,110723.0,701.0,,11044.0,19174.0,,,20260.0,,,0.0,7000.0,7000.0,2170318.0,0.0,-1650439.0,,,,,,,,3345317.0,,,6000.0,,0.0,,0.0,0.001,10000000.0,,0.0,,,,,1423.0,-6000.0,0.0,,-33847.0,,,0.0,-3385768.0,,,748.0,,,,,-1270615.0,15992.0,,,,,,,,,,,,,,0.21,,,,,,,157.0,,,,,0
5,7000,,,,,,,,,,,998142.0,-341154.0,474.0,,,,,,27000.0,,1368.0,,,,,,24419.0,-0.05,0.34,,,139225.0,,,,,,,,21576.0,,,8130.0,249316.0,-701.0,,,19174.0,1135.0,,,,,,7000.0,,-10559.0,,-330595.0,,-1966090.0,1967143.0,-1967143.0,,,,,1053.0,,6000.0,,,,,,,,0.0,,,,,,-6000.0,,331210.0,-30892.0,,,,-3392768.0,,,,109123.0,,,,799528.0,,,,,,,,,,,,39412195.0,781438.0,0.0,,,,11848966.0,,,,,,,,,0
6,7000,5032.0,3317739.0,,0.0,11092.0,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,3260.0,9055556.0,1137408.0,1137408.0,4097.0,45856.0,-0.01,0.21,,,74636.0,-35.0,,,,,,,110723.0,,,,,393.0,,11044.0,3582.0,44.0,,10560.0,,,0.0,,,,,,,-260859.0,260595.0,-260595.0,,,,3469000.0,-264.0,,,,,,,0.001,10000000.0,0.0,0.0,,,,,29419.0,,,39388.0,-50030.0,,,,-3392768.0,,,748.0,32759.0,,,,-7000.0,15992.0,,,,,,,,,,,41029000.0,787351.0,,,,,,,,,,,,,,0
7,7000,5032.0,,,0.0,11114.0,,,,,,432833.0,,,,,,,,,,,3260.0,9055556.0,1137408.0,1137408.0,,86102.0,,,,,153993.0,5104.0,,,,,,,-36499.0,,,,249316.0,,,11044.0,3582.0,44.0,,30820.0,,,0.0,7000.0,,,,,,-471087.0,470430.0,-470430.0,,,,3554000.0,-657.0,,,,,,,,,0.0,0.0,,,,,91102.0,,,77572.0,-148638.0,,,,-3392768.0,,,1835.0,65275.0,,,,-7000.0,11849.0,,,,,,,,,,,,795515.0,,,,,,,,,,,,,,0
8,7000,5032.0,,,,11114.0,,,,,,,,-21.0,,,,,,27000.0,,,3260.0,9055556.0,,,,86102.0,,0.21,,,,,,,,,,,,,,,,,,11044.0,3582.0,,,,,,,7000.0,,89102.0,,,,,,,,,,3788168.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-7000.0,,,,,,,,,,,,,795515.0,0.0,,,,,,,,,,,,,0
9,7000,,,,,11114.0,,,,,,432833.0,-432833.0,,,,,,,27000.0,,65.0,,,1137408.0,1137408.0,,86102.0,,,,,79354.0,5139.0,,,,,,,-36499.0,,,-15592.0,,,,19174.0,,0.0,,10560.0,,,,7000.0,,,,-432833.0,,-210215.0,209832.0,-209832.0,,,,,-393.0,,,,,,,,,0.0,0.0,,,,,,,,38184.0,-18918.0,,,,,,,1087.0,32516.0,,,,,,,,,,,,,,,,,797769.0,,,,,,,,,,,,,,0
