,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,Assets,AssetsNet,BankruptcyClaimsNumberClaimsFiled,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,GeneralAndAdministrativeExpense,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InvestmentIncomeInterest,Liabilities,LitigationSettlementAmount,LitigationSettlementExpense,LitigationSettlementGross,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesReceivableNet,OperatingExpenses,PaymentsOfCapitalDistribution,PrepaidExpenseCurrentAndNoncurrent,ProfessionalFees,ProfitLoss,ReceivableWithImputedInterestFaceAmount,Revenues,TaxBasisOfInvestmentsUnrealizedAppreciationDepreciationNet,TrusteeFees,UnrecognizedTaxBenefits,y
0,1886181,92933325,-167406392.0,150.0,164327745.0,-102091124.0,1241335.0,-2845384.0,-254104.0,309877.0,1886181,20000254.0,14982676.0,174977087.0,-101670595.0,-215000000.0,-83073211.0,-75040926.0,-19017913.0,-26629669.0,-24054664.0,6168829,16541498.0,215000000.0,68613,317487.0,-16231621.0,4875250.0,309877.0,-374500000.0,175000.0,0.0,0
1,1886181,92933325,91047144.0,150.0,164327745.0,57618341.0,480650.0,-2680914.0,-398427.0,159911.0,1886181,34000254.0,6989391.0,20000254.0,-142439995.0,-30000000.0,64808133.0,-64808133.0,-7189792.0,137368138.0,-7823043.0,6168829,7625303.0,,68613,155262.0,-7465392.0,,159911.0,-347200000.0,175000.0,0.0,0
2,1886181,92933325,-91047144.0,150.0,164327745.0,,1648442.0,-1425340.0,-542750.0,475027.0,1886181,14000000.0,22355306.0,,59982667.0,,,64808133.0,,-4825466.0,138640752.0,6168829,24529691.0,,68613,525943.0,-5237083.0,,475027.0,-346800000.0,175000.0,0.0,0
3,973660,86783721,-91047144.0,,62236621.0,,407107.0,-1349334.0,933773.0,165150.0,973660,,7372630.0,,57618341.0,-30000000.0,,64808133.0,,-7189792.0,-2444853.0,6363841,7988193.0,,913789,208456.0,-2792230.0,,165150.0,-346600000.0,,,0
4,1084705,84378903,-91047144.0,150.0,62657150.0,,2087568.0,-912521.0,845176.0,622868.0,1084705,,34178545.0,20000254.0,55205587.0,,,64808133.0,,-9602546.0,-2444853.0,6461347,36959203.0,30000000.0,824219,693090.0,,,175599955.0,,,,0
5,317506,80372171,-85810061.0,,21887750.0,,763578.0,,,136236.0,317506,,1435303.0,,,-30000000.0,,,,,-5237083.0,6558853,2581089.0,30000000.0,1234649,382208.0,,,136236.0,-347100000.0,,,0
6,317506,80372171,-83294198.0,,21887750.0,,763578.0,-801476.0,755606.0,136236.0,317506,,1435303.0,34000254.0,50690919.0,,,64808133.0,,-14117214.0,-2792230.0,6558853,2581089.0,30000000.0,1234649,382208.0,,,136236.0,,,,0
7,317506,80372171,80054665.0,,21887750.0,,1110590.0,,,265706.0,317506,,3915504.0,14000000.0,,-60000000.0,,,,,-2792230.0,6558853,5502789.0,30000000.0,1234649,476695.0,,,265706.0,,,,0
8,317506,80372171,-80054665.0,,21887750.0,,,-1568675.0,1166036.0,,317506,,,,-32036911.0,,,,,-2036911.0,-7752946.0,6558853,,,1234649,,,,,,,,0
9,597885,47874168,-80054665.0,,,,347012.0,280379.0,-558598.0,129470.0,597885,,2480201.0,,-34730724.0,,,,,-4730724.0,-2515863.0,6656359,2921700.0,,676051,94487.0,,,129470.0,,,,0
10,304140,45189265,-80054665.0,,,,,,,,304140,,,,,10109.0,,,,,-2515863.0,6753865,,,587455,,,,,,,,0
