,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccruedSalariesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,AdjustmentsToAdditionalPaidInCapitalOther,AllocatedShareBasedCompensationExpense,Assets,AssetsCurrent,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockValue,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtConversionOriginalDebtAmount1,DebtInstrumentConvertibleNumberOfEquityInstruments,DeferredCompensationArrangementWithIndividualExercisePrice,DeferredTaxAssetsGross,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationDepletionAndAmortization,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EmployeeRelatedLiabilitiesCurrent,ExplorationExpenseMining,GainContingencyUnrecordedAmount,GeneralAndAdministrativeExpense,GrossProfit,GuaranteeObligationsLiquidationProceeds,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherNoncurrentAssets,IncreaseDecreaseInPrepaidExpense,InducedConversionOfConvertibleDebtExpense,InterestExpense,InterestExpenseOther,InterestPayableCurrent,InventoryNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LaborAndRelatedExpense,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,LongTermDebtNoncurrent,LongTermNotesPayable,LossContingencyDamagesAwardedValue,LossContingencyDamagesSoughtValue,MineralPropertiesNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssets,OtherNoncashExpense,PaidInKindInterest,PaymentsForRepurchaseOfCommonStock,PaymentsToAcquireMiningAssets,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseCurrentAndNoncurrent,PrepaidExpenseNoncurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfPropertyPlantAndEquipment,ProfessionalFees,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,ShareBasedGoodsAndNonemployeeServicesTransactionExpense,StockGrantedDuringPeriodValueSharebasedCompensation,StockholdersEquity,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForNoncashConsiderations,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockIssuedDuringPeriodValueShareBasedCompensation,StockOptionPlanExpense,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,y
0,310297,323.0,727633.0,392300,18164240,208923.0,2473957.0,1467926.0,1832462.0,4153240,414441,39780.0,602.0,404917.0,29047.0,5274.0,-50000.0,-469220.0,71488653.0,0.041,11600582.0,11600582.0,95532.0,177927.0,404779.0,6000.0,-0.02,0.0,-0.35,0.389,-0.039,30177,18601.0,2000000.0,346396.0,2960.0,289648.3,-201697.0,19974.0,189074.0,16325.0,559993.0,6000.0,85342.0,1467926.0,74599.0,1467926.0,19221,352911.0,3732936.0,251723.0,250000.0,3510632,4153240,1331151,2409667.0,2906605.0,1247688.0,50339.0,2066145.0,407228.0,2179481.0,567743.56,477783.42,1772390,1337182.0,-616173.0,-316092.0,-4512166.0,237500,4437567.0,-4437567.0,42777040.0,6000.0,1534854.0,13822.0,50000.0,354091.0,262082.0,715025.0,715025.0,75000.0,1457313.0,337790.0,22000.0,3642306.0,277900.0,2122082.0,1245384,404779.0,42500.0,102631.0,-17550679,2960.0,1163542.0,0.041,0.0,0.65,0.006,4000000.0,0.03,75000000.0,20000000.0,0.2,0.041,13050.0,1163542.0,-1331336.0,355085.0,2449065.0,340000.0,5643059.0,75000.0,205723.0,754089.0,853802.0,1163542.0,63000.0,332290119.0,0
1,310297,323.0,727633.0,392299,18164240,,,2277002.0,,4153240,414441,39780.0,602.0,33404.0,29047.0,5274.0,-50000.0,-469220.0,115360537.0,,,,45026.0,249294.0,404779.0,6000.0,-0.01,,,,,30177,,2000000.0,162563.0,2960.0,,-94522.0,-69499.0,323238.0,-14367.0,352911.0,1000.0,-86587.0,2056627.0,33876.0,,19221,352911.0,5164351.0,155393.0,,3510632,4153240,1331151,3419394.0,,,216871.0,,,2179481.0,,477783.42,1772390,1692384.0,-999451.0,-659529.0,-2920653.0,237500,2886777.0,-2886777.0,,6000.0,1534854.0,12960.0,63000.0,155983.0,843468.0,715025.0,327183.0,75000.0,1825515.0,-323.0,,2422185.0,,,1245384,,42500.0,102631.0,-17550679,8234.0,1163542.0,,,,,,,,,,,13050.0,1832462.0,642608.0,355085.0,77600.0,,,3589745.0,50000.0,12325.0,,2996004.0,,,0
2,310297,323.0,727633.0,392299,18164240,,,2428800.0,,4153240,414441,39780.0,602.0,60928.0,29047.0,,-63822.0,-469220.0,80742806.0,,,,154018.0,96343.0,404779.0,6000.0,-0.03,,,,,30177,251589.0,2000000.0,147689.0,,289648.3,-56012.0,-75499.0,340810.0,-17042.0,352911.0,26000.0,383942.0,,135976.0,2056627.0,19221,352911.0,7026968.0,477378.0,250000.0,3510632,4153240,1331151,3313833.0,,,455771.0,,,2179481.0,567743.56,477783.0,1772390,2469849.0,-1380684.0,-1028237.0,-6257560.0,237500,6121584.0,-6121584.0,,6000.0,,,63000.0,529468.0,851216.0,34666.0,,75000.0,2602686.0,337790.0,22000.0,4491570.0,,,1245384,,42500.0,102337.0,-17550679,8234.0,1163542.0,,,,,,,,,,,13050.0,,,355085.0,3060165.0,,,4920235.0,205723.0,24826.0,992609.0,1832462.0,,,0
3,233352,,575470.0,570226,22809221,,,,5729317.0,3780686,372432,39780.0,405519.0,20037.0,32537.0,,-13822.0,-862130.0,,0.017,16640269.0,16640269.0,58486.0,978656.0,1694075.0,51198.0,-0.01,0.0,-0.35,0.389,-0.039,25690,232988.0,2000000.0,51293.0,,289648.3,-194950.0,-51198.0,323326.0,12048.0,520815.0,25000.0,-647538.0,588701.0,61377.0,,57782,352911.0,1903000.0,225655.0,250000.0,4688583,3780686,1984659,,-2157070.0,606432.0,,1570734.0,20095.0,2703924.0,56774356.0,477783.0,2021228,787677.0,-185688.0,-581952.0,-1745394.0,1041167,1684017.0,-1684017.0,52039469.0,6000.0,1534854.0,,63000.0,75652.0,110036.0,18133.0,,75000.0,788000.0,-323.0,,599264.0,181673.0,2153932.0,1346360,,49500.0,323.0,-23749655,176962.0,5270742.0,0.017,0.0,0.916,0.0015,-33333334.0,,59000000.0,91000000.0,0.034,0.017,13050.0,,,355085.0,192600.0,113600.0,2872931.0,65667.0,13822.0,,,,,585636159.0,0
4,272916,,633521.0,641593,24602808,,91271.0,,458575.0,4042494,555729,39780.0,34006.0,19521.0,34571.0,,-62960.0,-862130.0,,,,,235647.0,240915.0,1448588.0,1212.0,-0.04,,,,,25277,327058.0,,723616.0,,289648.3,543655.0,-45198.0,1454962.0,70792.0,167904.0,,34666.0,,243397.0,588701.0,91844,520815.0,15705573.0,1167222.0,250000.0,5391861,4042494,2132937,,844610.0,464932.0,,349678.0,20339.0,3258924.0,567743.56,,2059940,6804245.0,-3131620.0,-3653104.0,-9574016.0,1108167,9333579.0,-9330619.0,,31000.0,1657979.0,12511.0,63000.0,1267139.0,1904261.0,327183.0,327183.0,75000.0,6841745.0,338113.0,,4629985.0,,,1377692,823244.0,49500.0,337790.0,-25986746,174002.0,4107200.0,,,,,,,,,,,13050.0,,,355085.0,,,,65667.0,12960.0,24826.0,2274737.0,,,616820040.0,0
5,949504,,305250.0,737741,30327054,,323426.0,,6187893.0,6242304,2177031,39780.0,61530.0,-42009.0,42523.0,,12960.0,-1202130.0,138847233.0,,,,82097.0,,1117581.0,102254.0,-0.01,,,,,66334,296244.0,2000000.0,316042.0,,289648.3,-76946.0,,697152.0,38561.0,,26000.0,-680359.0,2077175.0,45730.0,2077175.0,129568,1772252.0,3589745.0,315452.0,250000.0,5694277,6242304,2837273,3675480.0,835549.0,272000.0,,346678.0,,2857004.0,567743.56,477783.0,2504422,1520387.0,-515416.0,-1046980.0,-3355011.0,1691867,3309281.0,-3309281.0,,31000.0,,196295.0,63000.0,248838.0,266578.0,327183.0,,75000.0,1520710.0,338113.0,,1915533.0,,,1202668,823244.0,49500.0,323.0,-29821550,,,,,,,,,,,,,13050.0,849371.0,642608.0,355085.0,3360165.0,,,65667.0,,,,,,,0
6,949504,,,737741,30327054,177626.0,1130386.0,,6646468.0,6242304,2177031,,61530.0,-26616.0,42523.0,,-12960.0,,192113133.0,,,,,419038.0,,,,,,,,66334,,,,,,-37381.0,,893597.0,72623.0,,,-696892.0,,,,129568,1772252.0,4920235.0,,,5694277,6242304,2837273,2434258.0,,,,,,2857004.0,,,2504422,2442387.0,-644326.0,-1824677.0,,1691867,,,,,,,63000.0,287550.0,356776.0,,312183.0,,2442710.0,338113.0,,,,,1202668,,,338113.0,-29821550,235961.0,4109039.0,,,,,,,,,,,,,-1349367.0,,3420890.0,,1153720.0,,12511.0,,,2996004.0,,638568479.0,0
7,949504,,,737741,30327054,266438.0,249819.0,,1375726.0,6242304,2177031,39780.0,61530.0,,42523.0,,-75471.0,-340000.0,73403733.0,,,,95829.0,,,,-0.01,,,,,66334,375669.0,,204660.0,,,,404779.0,,,,,,,58919.0,,129568,1772252.0,,457014.0,750000.0,5694277,6242304,2837273,2177166.0,,,,,,2857004.0,,,2504422,,,,-2843965.0,1691867,2785046.0,-2785046.0,,31000.0,,196295.0,63000.0,,,,,140667.0,,,,1181081.0,,,1202668,,138985.0,323.0,-29821550,58999.0,458575.0,,,,,,,,,,,13050.0,,548027.0,355085.0,553325.0,,,,133335.0,,1834302.0,3845375.0,,681475345.0,0
8,949504,,,737741,30327054,549915.0,271620.0,,458575.0,6242304,2177031,39780.0,61530.0,-61530.0,42523.0,,12511.0,-1315730.0,,,,,,1534585.0,,,,,,,,66334,,,,,,1259809.0,410779.0,1561255.0,144749.0,,26000.0,327183.0,,,,129568,1772252.0,17758887.0,,500000.0,5694277,6242304,2837273,864949.0,,,,,,2857004.0,,,2504422,7966579.0,-3626137.0,-4340442.0,,1691867,,,,31000.0,,133335.0,,1750334.0,1915583.0,,312183.0,65667.0,8004079.0,,,,,,1202668,823244.0,89485.0,,-29821550,,1834302.0,,,,,,,,,,,,,,355085.0,,,1387565.0,30000.0,133335.0,,1241038.0,,,274984486.0,0
9,620316,,,834084,39417276,575286.0,,,,9226499,3740307,39780.0,,,62342.0,,133335.0,-113600.0,,,,,249293.0,1728397.0,,,-0.03,,,,,125917,1079912.0,,634066.0,,,,,,,246704.0,32000.0,,,180431.0,,135947,2018956.0,,1055151.0,,3461945,9226499,2269430,869449.0,,,,,,1192515.0,,,2563748,,,,-8436067.0,1387250,8255636.0,-8255636.0,,31000.0,294000.0,196295.0,63000.0,,,,,,,338113.0,,3827985.0,,,1107084,703776.0,,,-33715064,75254.0,917151.0,,,,,,,,,,,,,,355085.0,,,287064.0,,133335.0,,1834302.0,849371.0,,,0
10,742650,,,930426,41471244,25371.0,,,,8632168,3720709,39780.0,,,67596.0,,,113600.0,,,,,249294.0,,,,,,,,,126693,,,634065.0,,,,,,,,6000.0,,,,,29431,2260839.0,,,250000.0,3162280,8632168,1537524,,,,,,,1624756.0,,,2576083,,,,,638750,,,,31000.0,,,63000.0,,,,312183.0,140667.0,,,,,,,1010742,324538.0,223758.0,338113.0,-36068952,,,,,,,,,,,,,,,548027.0,355085.0,6261033.0,,490954.0,,,,1894636.0,,,662554744.0,0
11,700734,,,1028203,42028960,600657.0,,,,8206644,3722964,39780.0,81567.0,27276.0,69079.0,,133335.0,,,,,,71367.0,387625.0,,,-0.01,,,,,116710,407999.0,,113364.0,,,,1784360.0,,,2260839.0,,,2180270.0,75782.0,,60010,2538929.0,,282685.0,,4074784,8206644,1729454,,,,,,,2345330.0,,,2673200,,,,-2237091.0,852000,2161309.0,-2161309.0,,37000.0,1951979.0,,,,,,,65667.0,,338113.0,,731371.0,,,970571,,174258.0,338113.0,-37966179,,1834302.0,,,,,,,,,,,,,548027.0,355085.0,2840143.0,,524154.0,,,,5547509.0,,,,0
