,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableGrossCurrent,AccountsReceivableNetCurrent,AccretionExpense,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalIncreaseInCarryingAmountOfRedeemablePreferredStock,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,AdvertisingExpense,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCosts,AmortizationOfFinancingCostsAndDiscounts,AmortizationOfLeasedAsset,AreaOfLand,Assets,AssetsCurrent,BankingFeesAndCommissions,BusinessAcquisitionPurchasePriceAllocationPropertyPlantAndEquipment,CapitalLeaseObligationsCurrent,CapitalLeaseObligationsNoncurrent,CapitalLeasesIncomeStatementInterestExpense,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,ClassOfWarrantOrRightNumberOfSecuritiesCalledByEachWarrantOrRight,ClassOfWarrantOrRightOutstanding,CommonStockParOrStatedValuePerShare37,CommonStockParOrStatedValuePerShare38,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ConvertibleLongTermNotesPayable,ConvertibleNotesPayableCurrent,ConvertiblePreferredStockConvertedToOtherSecurities,ConvertiblePreferredStockSharesIssuedUponConversion,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostsAndExpensesRelatedParty,DebtConversionConvertedInstrumentAmount1,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentInterestRateStatedPercentage,DeferredFinanceCostsCurrentNet,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,Deposits,DepositsAssetsCurrent,DepositsAssetsNoncurrent,Depreciation,DepreciationDepletionAndAmortization,DepreciationExpense,DerivativeLiabilitiesCurrent,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EmployeeBenefitsAndShareBasedCompensation,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,EmployeeStockOwnershipPlanESOPCompensationExpense,FairValueAdjustmentOfWarrants,FinanceLeaseRightOfUseAsset,GainLossOnDerivativeInstrumentsNetPretax,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeposits,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOperatingLeaseLiability,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestExpense,InterestExpenseOther,InterestPaid,InterestPayableCurrent,InventoryFinishedGoods,InventoryNet,InventoryRawMaterials,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,LeaseDepositLiability,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LineOfCredit,LineOfCreditFacilityCommitmentFeePercentage,LineOfCreditFacilityInterestRateDuringPeriod,LoansPayableCurrent,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesIssued1,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLeaseRightOfUseAssetAmortizationExpense,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OperatingLeaseWeightedAverageDiscountRatePercent,OperatingLossCarryforwards,OtherCostOfOperatingRevenue,OtherExpenses,OtherIncome,OtherLiabilitiesCurrent,OtherNotesPayableCurrent,PaymentsForDeposits,PaymentsForRepurchaseOfCommonStock,PaymentsOfCapitalDistribution,PaymentsOfStockIssuanceCosts156,PaymentsOfStockIssuanceCosts157,PaymentsToAcquireMachineryAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare160,PreferredStockParOrStatedValuePerShare161,PreferredStockRedemptionAmount,PreferredStockRedemptionDiscount,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromContributedCapital,ProceedsFromConvertibleDebt,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPrivatePlacement172,ProceedsFromIssuanceOfPrivatePlacement173,ProceedsFromIssuanceOfRedeemableConvertiblePreferredStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLongTermCapitalLeaseObligations,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromStockOptionsExercised,ProceedsFromWarrantExercises180,ProceedsFromWarrantExercises181,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOtherNet,ProvisionForDoubtfulAccounts,RedeemableNoncontrollingInterestEquityPreferredCarryingAmount,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,RepaymentsOfLongTermCapitalLeaseObligations,RepaymentsOfNotesPayable,RestrictedCashAndCashEquivalents,RetainedEarningsAccumulatedDeficit,Revenues,SaleLeasebackTransactionCurrentPeriodGainRecognized,SaleLeasebackTransactionGrossProceedsInvestingActivities,SellingAndMarketingExpense,SellingExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice207,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice208,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice216,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice217,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedNumberOfShares,ShortTermLeaseCost,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueRestrictedStockAwardGross,StockIssuedDuringPeriodValueStockOptionsExercised,StockOptionPlanExpense,StockRepurchasedDuringPeriodValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,LineOfCreditFacilityCommitmentFeeAmount,StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,DebtInstrumentConvertibleBeneficialConversionFeature,EarningsPerShareBasic,EarningsPerShareDiluted,PreferredStockSharesOutstanding,RevenueFromContractWithCustomerIncludingAssessedTax,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPricePerShare,WeightedAverageNumberOfDilutedSharesOutstanding,StockIssuedDuringPeriodSharesOther,DividendsPayableCurrentAndNoncurrent,PreferredStockDiscountOnShares,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,StockIssuedDuringPeriodValueConversionOfUnits,WarrantExercisePriceDecrease,y
0,12651,490.0,1419281.0,15110,0.0,5400.0,897141.0,0.0,295000.0,2227031.0,2225736.0,479524.0,871172.0,0.0,0.0,0.0,107532.0,14837.0,3352.0,4588.0,4588.0,516.0,-11690.0,0.0,0.0,0.0,0.0,0.0,4588.0,-4161545.0,11032451.0,-6470769.0,-1018714.0,4588.0,0.9,1275832.0,4988116.0,0.001,0.001,75000000.0,4500000.0,4500000.0,0.0,4500.0,0.0,0.0,0.0,1500000.0,5705823.0,0.0,0.0,0.0,1.0,0.12,0.0,3850000.0,0.0,3850000.0,4000.0,4000.0,15000.0,914.0,914.0,914.0,0.0,-516.0,604.0,0.0,0.0,0.0,0.21,-0.21,0.0,393460.0,704620.0,786920.0,1591555.0,131030.0,124000.0,0.0,693.0,0.0,-516.0,0.0,0.0,0.0,1750000.0,52545.0,7900.0,0.0,0.0,0.0,-4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1315.0,232300.0,7573,587688.0,0.0,0.0,102445.0,140000.0,119245.0,118977.0,119150.0,191379.0,6455.0,604.0,4588.0,604.0,0.0,600000.0,0.0008,0.0035,0.0,164193.0,5104.0,-11690.0,-516.0,-516.0,0.0,0.0,604.0,604.0,516.0,-516.0,3938.0,22072.0,119245.0,88168.0,31077.0,23255.0,104408.0,-2200.0,188699.0,117678.0,119150.0,71021.0,71021.0,70462.0,0.075,14000000.0,10450900.0,0.0,0.0,0.0,0.0,0.0,0.0,7170.0,165630.0,875200.0,160000.0,-4000.0,0.001,0.001,500000.0,0.0,100000000.0,20000000.0,0.0,0.0,77301.0,0.0,10450900.0,4500.0,4049867.0,3848748.75,0.0,3848749.0,0.0,604.0,6100.0,61480.0,172521.0,0.0,6560.0,-8167.0,0.0,1169635.0,0.0,0.0,104619.0,0.0,0.0,0.0,1999998.0,-11652350.0,0.0,0.0,0.0,24048.0,2664931.0,3038573.0,3.51,0.0,1.61,1.16,0.0142,0.26,1105900.0,0.84,0.84,-192000.0,0.52,0.0,4114439.0,4653400.0,0.92,0.52,0.0,0.428,357500.0,12471.0,3984.0,15.0,1000000.0,29000.0,46544.0,-485000.0,229869.0,2632291.0,1025001.0,651648.0,1820.0,393460.0,42999.0,490000.0,4500000.0,4000.0,30000.0,50000.0,778966.0,0.0,1524750.0,-0.24,-0.24,0.0,40069121.0,631203.0,750240.0,0.84,88342316.0,2285714.0,5500.0,0.0,0.0,948000.0,0.0,0.46,0
1,12651,490.0,2639095.0,15110,,5400.0,897141.0,20700.0,,2227031.0,,374500.0,1927929.0,40000.0,,43149.0,414370.0,,3352.0,4588.0,4588.0,1214.0,-9875.0,0.0,0.0,40383.0,4588.0,0.0,-3586.0,-6858900.0,10013737.0,,1056080.0,1462.0,1.25,,4192916.0,0.001,0.001,75000000.0,4500000.0,4500000.0,0.0,4500.0,0.0,0.0,0.0,3800000.0,2753879.0,0.0,7000.0,0.0,,0.12,0.0,3360000.0,0.0,3360000.0,4000.0,4000.0,15000.0,598.0,,,0.0,-516.0,6604.0,1000000.0,0.0,0.0,,-0.21,0.0,393460.0,379411.0,54202.0,,131030.0,123985.0,,177.0,0.0,-7651.0,,0.0,,490000.0,56657.0,,0.0,0.0,0.0,-4000.0,1315.0,0.0,,0.0,0.0,0.0,0.0,1315.0,232300.0,7573,587688.0,,0.0,114822.0,140004.0,98096.0,47288.0,119150.0,191379.0,4349.0,604.0,4588.0,14604.0,0.0,800000.0,0.0008,0.0035,131583.0,109599.0,5500.0,4000.0,-5396.0,-8167.0,0.0,8000.0,0.0,6604.0,8167.0,-5396.0,7992.0,,98096.0,90253.0,7843.0,46509.0,84832.0,5084.0,326937.0,138338.0,119150.0,191379.0,117578.0,47207.0,0.075,21700000.0,5899998.0,,0.0,83348.0,0.0,0.0,43000.0,7170.0,,,160000.0,,0.001,0.001,,0.0,100000000.0,20000000.0,,0.0,135360.0,0.0,,5000.0,,3848748.75,,,366574.0,500.0,6000.0,,172521.0,0.0,,-7651.0,0.0,1169635.0,0.0,0.0,0.0,0.0,0.0,0.0,,-19933934.0,0.0,0.0,0.0,36053.0,1376967.0,3730263.0,,,,,,,1477710.0,0.98,,3320800.0,0.55,1790000.0,16916.0,4145800.0,0.92,0.52,1.29,0.51,357500.0,23597.0,3984.0,15.0,1000000.0,,27677.0,-181000.0,,20000.0,,651648.0,,1103740.0,,,4978022.0,78156409.0,,70000.0,,62388.0,,-0.08,-0.08,,14113578.0,,,,91020392.0,,,193847.0,1100000.0,,,,0
2,12651,,2639095.0,15110,13332.0,5400.0,1135604.0,20700.0,,2227031.0,,,1056758.0,40000.0,,,414370.0,13265.0,3352.0,4588.0,351.0,698.0,,0.0,0.0,0.0,4588.0,4588.0,351.0,-584805.0,4561682.0,1056080.0,,1462.0,1.25,,,,0.001,75000000.0,4500.0,5000000.0,,5000.0,200000.0,0.0,0.0,0.0,7797081.0,,7000.0,0.0,,0.12,,,,,,,,1518.0,1518.0,598.0,,-516.0,,,,,0.21,0.21,0.0,,216806.0,54202.0,3725465.0,,165699.0,,,,-2249.0,,0.0,0.0,2050000.0,43077.0,0.0,0.0,,0.0,,3555.0,9932.0,653827.0,,,0.0,,,333501.0,7573,587125.0,0.0,,7752.0,185510.0,99389.0,213129.0,23075.0,137819.0,-3099.0,14604.0,4588.0,20604.0,0.0,,0.0008,0.0035,131583.0,91750.0,11100.0,,-6749.0,-7651.0,,0.0,0.0,,7651.0,-8167.0,10083.0,43753.0,76266.0,76266.0,0.0,,65255.0,,125700.0,102488.0,,191379.0,55238.0,,0.075,34800000.0,,,40029.0,83348.0,0.0,0.0,,7170.0,,,160000.0,52545.0,,,,0.0,100000000.0,,0.0,,217738.0,0.0,,5000.0,,,0.0,,,0.0,,,16802.0,0.0,,-2249.0,11086.0,1169635.0,10000.0,,,,0.0,0.0,,-19933934.0,,,0.0,12005.0,2900243.0,642872.0,,,,,,,1684925.0,1.08,,,,,16916.0,,,,,,357500.0,11120.0,3984.0,15.0,0.0,,4600000.0,181000.0,1054150.0,20000.0,3848800.0,651648.0,1103740.0,1266345.0,,,4956044.0,,,,,62388.0,,-0.2,-0.2,,29369343.0,,,,93669358.0,,,,,,,,0
3,12651,490.0,2639095.0,15110,,5400.0,1267899.0,20700.0,,,,,556758.0,40000.0,0.0,,457518.0,11011.0,3352.0,28342.0,5462.0,,,64578.0,308794.0,,4588.0,351.0,,,5617762.0,-2844738.0,,180.0,0.46,,,0.001,,,7300000.0,7300000.0,500000.0,7300.0,0.0,50000.0,252830.0,,11687017.0,,,0.0,,,,,,,,,15000.0,605.0,,,,-14262.0,,,,0.0,0.21,0.21,,1103740.0,3041444.0,,1697537.0,,,0.0,,,-42626.0,,,0.0,3020000.0,13141.0,0.0,15110.0,,5400.0,-4000.0,0.0,7573.0,,0.0,,0.0,0.0,1315.0,235464.0,7573,766556.0,,0.0,7752.0,,146789.0,107678.0,23075.0,141552.0,6038.0,20604.0,28342.0,169856.0,308794.0,,0.0008,0.0035,,,,-52545.0,-10737.0,-2249.0,,,8000.0,,2249.0,-2249.0,10083.0,21681.0,66235.0,99389.0,0.0,,56440.0,,102488.0,79465.0,,119150.0,73362.0,,0.07,,,4577.0,,83348.0,65999.0,15000.0,,10670.0,,,160000.0,66524.0,0.001,0.001,,56098.0,,20000000.0,,2669.0,264575.0,50000.0,,,,,422000.0,,,13000.0,6000.0,61480.0,4375000.0,,,-13745.0,38083.0,1430837.0,,,,,5204.0,152058.0,,-19933934.0,,-20773.0,,,4166274.0,1111445.0,,,,,,,,,,,,,,,,,,,,12622.0,13738.0,,,247167.0,700000.0,41000.0,1699620.0,50000.0,3848800.0,,0.0,1428949.0,,,7300000.0,,,,,62388.0,,-0.3,-0.3,,39684465.0,,,,105580951.0,,,,,,,,0
4,32362,0.0,2667010.0,24545,,,1267899.0,,,,,,3041444.0,,0.0,,,,14530.0,5462.0,4018.0,,,64578.0,293129.0,52566.0,,17861.0,17861.0,,9130956.0,4569274.0,,18.0,,,,0.001,0.001,75000000.0,7300.0,7300000.0,,7300.0,0.0,146250.0,,,4491213.0,,,229870.0,,,54288.0,8680000.0,0.0,8680000.0,,,105000.0,0.0,,,337988.0,-43142.0,,,0.0,,,,0.0,1103740.0,3227030.0,,,,,0.0,1085.0,,-46124.0,0.0,0.0,0.0,,19221.0,-490.0,9435.0,,0.0,0.0,0.0,21591.0,,46333.0,,,,0.0,235464.0,29164,766556.0,11.0,137500.0,7752.0,,594790.0,54018.0,23075.0,141552.0,57435.0,20604.0,5462.0,169856.0,293129.0,,0.0008,0.0035,,,34100.0,-9875.0,-12239.0,-14261.0,,,20604.0,,,-14262.0,,,138266.0,99389.0,24408.0,,130989.0,,67002.0,81875.0,,,259821.0,,0.07,65000000.0,,0.0,40029.0,,41248.0,90000.0,,0.0,,,,,0.001,0.001,,,,20000000.0,20000.0,,0.0,,,28000.0,,,,,,0.0,17904.0,61480.0,,1344630.0,11659.0,-6095.0,38083.0,1418512.0,10000.0,83820.0,,,,,,,,,,2849.0,1266031.0,,,,,,,,4572567.0,,,0.0,0.0,,,,,0.89,,,,48607.0,-15142.0,,,,,161100.0,,,3238028.0,,0.0,162605.0,,,,77500000.0,,,,0.0,,-0.1,-0.1,,13100048.0,,,,117518198.0,,,,,,,,0
5,78993,0.0,2987511.0,48635,,18162.0,1267899.0,45604.0,,2227031.0,,770856.0,806758.0,,0.0,,6583.0,11996.0,14530.0,5462.0,87290.0,,,108981.0,129832.0,103866.0,1002.0,11032451.0,13273.0,,9130956.0,,,90113.0,,,6188222.0,,0.001,75000000.0,7300.0,77500000.0,,77500.0,224667.0,0.0,252830.0,,9478374.0,,,,,,54288.0,,,,,,81900.0,0.0,,,337988.0,-43142.0,,,,,,,,,3227030.0,,,,104408.0,0.0,568.0,,-5396.0,,,0.0,4.5,,,,,,,21144.0,,,,,468255.0,,0.0,235464.0,103787,766556.0,,,7891.0,119245.0,522187.0,,,,48162.0,22304.0,5462.0,169856.0,129832.0,,0.0008,0.0035,,,29500.0,,-12227.0,-13745.0,,,20604.0,,14262.0,-13745.0,,70043.0,138266.0,99389.0,334262.0,,130989.0,,152827.0,119150.0,,,259821.0,,,,,0.0,0.0,129486.0,41248.0,,,,,,,39897.0,,0.001,,56098.0,,20000000.0,20000.0,0.0,,275000.0,,23500.0,,,,,,15304.0,4300.0,,,,,,38083.0,2009324.0,0.0,83820.0,,,,1729821.0,,-20947565.0,0.0,,208773.0,,5393253.0,4551961.0,,,,,,,,,,,,1790000.0,,2272900.0,1.09,,1.29,,,34754.0,-15142.0,,,,,,0.0,,3238028.0,625556.0,61480.0,,,,7300000.0,,,,,0.0,,-0.4,-0.4,,60596247.0,,,,127595784.0,,,,,,,,0
6,135907,0.0,3336599.0,99266,,16374.0,,176405.0,,,,,1613515.0,,,,,,14530.0,5462.0,87290.0,,,209544.0,233770.0,51300.0,351.0,11032451.0,0.0,,9130956.0,,,90113.0,,,,,,,7300000.0,77500000.0,0.0,77500.0,,0.0,,,,8026.0,,229870.0,,,54288.0,,,,,,201900.0,,,,337988.0,43142.0,,,,0.0,0.21,0.21,,162605.0,3227030.0,,,,84832.0,,391.0,7084.0,-2982.0,,0.0,,,65852.0,,33525.0,,12762.0,,19829.0,96214.0,,2669.0,1315.0,468256.0,0.0,7500.0,,87181,,,2019357.0,7992.0,98095.0,,,,,,0.0,5462.0,,233770.0,,0.0008,0.0035,,,70131.0,-66524.0,-17586.0,-70131.0,-5892.0,,20604.0,,13745.0,-6095.0,5280.0,,138266.0,,292582.0,,130989.0,,652225.0,189758.0,,,,,,,,,0.0,312991.0,41248.0,90000.0,,0.0,,,,1019.0,,,,,,,20000.0,0.0,0.0,,,0.0,,,,,,1700.0,0.0,,,1344630.0,5099.0,,,1945265.0,6225.0,83820.0,,104929.0,20870.0,,,-22223241.0,,0.0,,88229.0,,,,,,,,,,,,,,,,,,,,,,94215.0,-15142.0,,,,,,0.0,,17238429.0,625556.0,61480.0,,,,,79776874.0,,,,0.0,,-0.06,-0.06,,16894403.0,,,,137563831.0,,,,,,,,0
7,320154,18403.0,3142580.0,166404,,56601.0,1492055.0,176405.0,,,,2700000.0,2420273.0,40000.0,,,,-2200.0,,4018.0,,,,209544.0,233770.0,49255.0,17861.0,4173551.0,-3126.0,,4497905.0,,,38695.0,,,,,0.001,1125000000.0,7300000.0,77500000.0,,,,46046.0,,,,,,0.0,,,,,,,,,0.0,,,,,48886.0,,,0.0,,,,,,,,,,,,96161.0,,-5744.0,,0.0,,,136397.0,,99266.0,,25189.0,,1315.0,87181.0,,,,508637.0,0.0,19829.0,499194.0,57965,949477.0,11.0,,7992.0,,429505.0,,,,28700.0,169856.0,4018.0,37762.0,233770.0,,0.0008,0.0035,,,36500.0,-54897.0,-39626.0,-42626.0,,,0.0,,70131.0,-42626.0,5280.0,,,66235.0,,,,,,,,,,,0.07,,,,,242875.0,,225000.0,,,,,,263223.0,,,,,,,,0.0,,,,23500.0,,,422000.0,,,,1000000.0,,,0.0,,,37253.0,1945265.0,0.0,,,,381354.0,,,-23388534.0,,20773.0,,,,,,,,,,,,,,,,,,,,,,,,158440.0,4018.0,,,,,,2227030.0,,2900000.0,,,,,,,,,,,,,-0.06,-0.06,,19574953.0,,,,145825459.0,,,,,,,,0
8,320154,18403.0,3142580.0,166404,,56601.0,1602667.0,,,,,,806758.0,40000.0,,,296415.0,-9907.0,,140373.0,87290.0,,,209544.0,233770.0,,0.0,4561682.0,88.0,,10418993.0,1288109.0,,109781.0,,,2086489.0,,,1125000000.0,77500000.0,109500000.0,,77500.0,,0.0,252830.0,,14301068.0,90957.0,,,,,0.0,,,,,,0.0,,,,257862.0,283388.0,,,,,0.21,,,,,,,,,,50078.0,71310.0,-2762.0,,,0.0,,,17913.0,,,,,-19829.0,,,,3555.0,40382.0,,19829.0,406405.0,57965,1297392.0,,,7992.0,,357816.0,,,,20626.0,37762.0,140373.0,97155.0,233770.0,,0.00083,0.0035,,,128190.0,-91019.0,-75557.0,-132214.0,-3555.0,,150000.0,,43142.0,-46125.0,,93717.0,,122380.0,292582.0,,,,500287.0,,,,,,,,,0.0,,242875.0,16497.0,,,0.0,,,,,,,,56098.0,,,,4694.0,0.0,435000.0,,0.0,,,,,,150000.0,,,,,44828.0,,315068.0,1945265.0,,0.0,,62092.0,,373727.0,,-23388534.0,0.0,,0.0,188422.0,2928163.0,319125.0,,,,,,,,,,,,0.0,,2033900.0,1.11,,0.0,,,64225.0,-29483.0,,,,,239000.0,2227030.0,,2900000.0,3093350.0,,,,,,77717418.0,,,,,,-0.15,-0.15,,51277376.0,,,,,,,,,,,,0
9,320154,18403.0,3142580.0,166404,,56601.0,1848568.0,176405.0,,,,,,40000.0,,,,932.0,3352.0,140373.0,438409.0,,,,,,0.0,4561682.0,180.0,,3293292.0,1288037.0,,1192119.0,,,,,0.001,1125000000.0,77500000.0,109500000.0,0.0,79387.0,,2223633.0,,,,,,229870.0,,,8500.0,16300000.0,0.0,16300000.0,,,0.0,,,,165949.0,283388.0,,,0.0,,,,,,,,,,,,1296.0,,,,0.0,,,123256.0,,84156.0,,18474.0,,,79608.0,,,,,0.0,19829.0,991907.0,57965,1066105.0,0.0,,,,374022.0,,,,20704.0,97155.0,140373.0,563856.0,,,,,,,43304.0,,-46125.0,-62083.0,,,150000.0,,42626.0,-2982.0,,34754.0,146788.0,260528.0,292582.0,,144699.0,,,,,,,,,,,,,242875.0,3811.0,210000.0,,,,,,304127.0,,0.001,,,,20000000.0,,9804.0,,,,28000.0,,,,,,75000.0,,,,0.0,5000.0,,299541.0,,,0.0,,,26588.0,,,-23388534.0,,0.0,0.0,,,,,,,,,,,,,129000.0,1.54,,,,,0.62,,,,235167.0,-29483.0,,,,,,,,2900000.0,,,,,,,,,,,,,-0.03,-0.03,,15874967.0,,,,,,,,,,,,0
