,AccountsPayableCurrent,AccountsReceivableRelatedPartiesCurrent,AccruedIncomeTaxesNoncurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,Assets,AssetsCurrent,AssetsNoncurrent,BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,BusinessAcquisitionEquityInterestIssuedOrIssuableValueAssigned,BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,BusinessAcquisitionPurchasePriceAllocationNotesPayableAndLongTermDebt,BusinessAcquisitionSharePrice,BusinessAcquisitionsProFormaNetIncomeLoss,BusinessCombinationAcquisitionRelatedCosts,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockDividendsPerShareCashPaid,CommonStockDividendsPerShareDeclared,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValueOutstanding,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxesAndTaxCredits,DeferredIncomeTaxLiabilities,DeferredOfferingCosts,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsEquityMethodInvestments,DeferredTaxAssetsLiabilitiesNetCurrent,DeferredTaxAssetsLiabilitiesNetNoncurrent,DeferredTaxAssetsNet,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsNetNoncurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DeferredTaxAssetsTaxCreditCarryforwards,DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,DeferredTaxAssetsTaxCreditCarryforwardsOther,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,DeferredTaxAssetsValuationAllowanceNoncurrent,DeferredTaxLiabilities,DeferredTaxLiabilitiesCurrent,DeferredTaxLiabilitiesGrossCurrent,DeferredTaxLiabilitiesGrossNoncurrent,DeferredTaxLiabilitiesInvestmentInNoncontrolledAffiliates,DeferredTaxLiabilitiesNoncurrent,DeferredTaxLiabilitiesOther,DividendsCommonStockCash,DueFromAffiliateCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EquityMethodInvestmentDifferenceBetweenCarryingAmountAndUnderlyingEquity,EquityMethodInvestmentDividendsOrDistributions,EquityMethodInvestmentOtherThanTemporaryImpairment,EquityMethodInvestmentOwnershipPercentage,EquityMethodInvestmentSummarizedFinancialInformationAssets,EquityMethodInvestmentSummarizedFinancialInformationCurrentAssets,EquityMethodInvestmentSummarizedFinancialInformationCurrentLiabilities,EquityMethodInvestmentSummarizedFinancialInformationEquityOrCapital,EquityMethodInvestmentSummarizedFinancialInformationNoncurrentAssets,EquityMethodInvestmentSummarizedFinancialInformationNoncurrentLiabilities,EquityMethodInvestments,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxesPaid,IncomeTaxesReceivable,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInIncomeTaxesReceivable,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LiabilityForUncertainTaxPositionsNoncurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingLossCarryforwards,OtherNoncashExpense,PaymentsOfDividendsCommonStock,PaymentsOfStockIssuanceCosts,PaymentsToAcquireEquityMethodInvestments,ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ReorganizationItems,RetainedEarningsAccumulatedDeficit,ShareBasedCompensationArrangementByShareBasedPaymentAwardAcceleratedCompensationCost,SharePrice,SignificantChangeInUnrecognizedTaxBenefitsIsReasonablyPossibleAmountOfUnrecordedBenefit,SignificantChangeInUnrecognizedTaxBenefitsIsReasonablyPossibleEstimatedRangeOfChangeUpperBound,StockholdersEquity,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueNewIssues,TaxesPayableCurrent,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,y
0,983450,0.0,0.0,2307173.0,388000.0,2785310.0,523000.0,1221817000.0,4400000000.0,2658939000.0,93756674.0,1700000000.0,46.2375,11096000.0,11000000.0,1700000000.0,0.0,1000.0,0.2416,0.71,0.0,34787500.0,1200000000.0,0.0,0.0,11867000.0,-14820000.0,0.0,-23000000.0,1800860.0,661000.0,0.0,0.0,-13559000.0,10000000.0,0.0,9651000.0,622000.0,0.0,0.0,23000000.0,43000000.0,0.0,32000000.0,0.0,0.0,13559000.0,0.0,0.0,271140000.0,854981000.0,23210000.0,0.0,24699000.0,983450.0,1.92,0.378,0.35,0.0,0.008,0.02,516000000.0,0.0,0.0,0.15,11451238000.0,811428000.0,823132000.0,4427180000.0,10639810000.0,6200926000.0,1221817000.0,155000.0,-155000.0,0.0,0.0,12528000.0,0.0,0.0,0.0,0.0,0.0,0.0,983450.0,2785310.0,0.0,13559000.0,20000000.0,1000.0,-1212627000.0,0.0,-155000.0,107000000.0,155000.0,0.0,57117000.0,1212627000.0,-1212627000.0,1200000000.0,1000.0,0.0,-506313.0,9220000.0,30.79,15000000.0,80000.0,1801860.0,115702524.0,2658552000.0,1000.0,80000.0,0.0,38000.0,0.0,19000.0,0.0,20106000.0,0.0,3000000.0,10747000.0,0
1,0,11218000.0,8983000.0,2991000.0,2020000.0,1222340000.0,523000.0,1221817000.0,4400000000.0,,,,46.2375,-121083000.0,13000000.0,,,1000.0,0.2416,,34787500.0,34787500.0,1200000000.0,0.0,0.0,,10480000.0,0.0,23210000.0,0.0,,276899000.0,639000.0,0.0,9651000.0,639000.0,,,31000.0,32092000.0,,35000000.0,837000.0,,198000.0,31925000.0,,0.0,0.0,3194000.0,271140000.0,13559000.0,3194000.0,,0.0,,,,0.0,,,1300000000.0,0.0,0.0,0.15,16504964000.0,815940000.0,1252733000.0,5891427000.0,15689024000.0,9360804000.0,1221817000.0,155000.0,-506000.0,0.0,0.0,,475000.0,12849000.0,0.0,55000.0,0.0,0.0,,1222340000.0,0.0,13559000.0,20000000.0,1000.0,,0.0,-155000.0,,506000.0,0.0,,,,,1269744000.0,,-4046000.0,,35.24,,,1208781000.0,123100715.0,,1209835000.0,80000.0,20106000.0,,0.0,109000.0,0.0,,0.0,,10747.0,0
2,0,11218000.0,8983000.0,2991000.0,2065000.0,1222340000.0,523000.0,1221817000.0,,,,,46.2375,-121083000.0,2000000.0,,0.0,,0.2416,,34787500.0,34787500.0,1200000000.0,,,,6572000.0,12528000.0,-23000000.0,0.0,,,639000.0,,24000000.0,,97537000.0,50991000.0,,,,,,36000000.0,,,756805000.0,,,,,13559000.0,,,0.0,,,,-0.365,,,516000000.0,25221000.0,0.0,0.15,,,,,,,1221817000.0,,-351000.0,,,,475000.0,12849000.0,0.0,-573000.0,-475000.0,,,1222340000.0,0.0,13559000.0,,,,,,,506313.0,25000000.0,,0.0,,,,0.0,-4046000.0,,37.97,,,,,,,80000.0,,0.0,,,,,,433000000.0,,0
3,0,11218000.0,8983000.0,2991000.0,,1222340000.0,523000.0,1221817000.0,,,,,28.36,,13000000.0,,0.0,523000.0,0.2416,0.71,34787500.0,34787500.0,3900000000.0,0.0,-88000.0,-84908000.0,-11791000.0,,,0.0,-7172000.0,,639000.0,1261000.0,18971000.0,46441000.0,,,42000.0,36680000.0,,,0.0,36000000.0,6430000.0,29188000.0,,0.0,,,0.0,13559000.0,,24699000.0,0.0,0.74,0.092,0.35,,-0.018,0.003,516000000.0,,0.0,0.15,16423509000.0,1706590000.0,982545000.0,4543605000.0,14716919000.0,10897359000.0,1221817000.0,506000.0,33181000.0,0.0,0.0,,96000.0,12849000.0,0.0,-573000.0,-475000.0,0.0,,1222340000.0,0.0,13559000.0,,1187929000.0,0.0,25221000.0,-506000.0,,1230000.0,24699000.0,0.0,,,,,,-4046000.0,,25.92,,,,,-65000.0,,7751000.0,20068000.0,,5000000.0,203000.0,,,,,34788000.0,0
4,0,11218000.0,8983000.0,2991000.0,,1222340000.0,11121000.0,1176585000.0,,,,,,,125000.0,,,,,,34787500.0,,1200000000.0,,,,,,,361000.0,,,639000.0,-757444000.0,,,210800000.0,81993000.0,,,,,,36000000.0,,,13899000.0,,,,,,,49920000.0,9715000.0,,,,,,,516000000.0,,,0.39,,,,,,,,506313.0,,,,,186000.0,12849000.0,0.0,,-97000.0,0.0,,1222340000.0,9715000.0,0.0,,,,,-506313.0,,,,,0.0,,,0.0,200000.0,-4046000.0,,33.18,,,1208781000.0,,,-65000.0,7792000.0,,,5293000.0,,,,,,,0
5,9715000,,,,,,7656000.0,1208067000.0,,,,,,,,,,,,1.435,,34787500.0,3868387000.0,21193000.0,1054000.0,,-37635000.0,-14820000.0,,361000.0,,,,,,3000000.0,,,0.0,57683000.0,,,,,52990000.0,415397000.0,,,,,,0.0,,75134000.0,6250000.0,-0.52,,,,,,1300000000.0,25000.0,,0.39,,,,,,,1175324000.0,351000.0,,,,,,,-475000.0,,-45000.0,0.0,,,6250000.0,24039000.0,,,0.0,,-351000.0,,,,0.0,,,,,,,,,,,1208781000.0,,45000000.0,-65000.0,29829000.0,15000000.0,,15000000.0,203000.0,,,,,34788000.0,0
6,6250000,651000.0,8983000.0,15119000.0,,1187706000.0,7656000.0,1182185000.0,,,,,,,,,1000.0,522000.0,,,34787500.0,34787500.0,3868387000.0,,,-710484000.0,,10480000.0,,361000.0,-24112000.0,,698000.0,0.0,,3000000.0,19657000.0,21747000.0,,,,,,67000000.0,,,,,,,,24039000.0,,100348000.0,6250000.0,-0.52,0.376,0.35,,0.001,0.023,1300000000.0,25221000.0,,0.39,,,,,,,1208067000.0,351000.0,-33039000.0,,,,202000.0,12849000.0,-475000.0,,,-4638000.0,,1187706000.0,6250000.0,20131000.0,,-24699000.0,,25221000.0,-351000.0,,11767000.0,25000.0,,,,,0.0,300000.0,-46964000.0,,,,,1208781000.0,,46000000.0,,29829000.0,,,15000000.0,203000.0,,,,,,0
7,6250000,0.0,8983000.0,17651000.0,,1215723000.0,25751000.0,3639768000.0,,,,,,,,,1000.0,,,0.725,34787500.0,34787500.0,3868387000.0,,,,26141000.0,6572000.0,,0.0,,,723000.0,0.0,,3000000.0,,,,,,,,326000000.0,,,,,,,,20131000.0,,,,,,,,,,1500000000.0,,,,,,,,,,1182185000.0,,,34411000.0,12528000.0,,,13324000.0,-97000.0,,-4000.0,,,1215723000.0,11298000.0,766427000.0,,,,,,,,24699000.0,,,,,,100000.0,-42053000.0,,,,,,,,,29829000.0,15000000.0,,15000000.0,203000.0,,,,,,0
8,11298000,156000.0,7716000.0,18285000.0,,1189841000.0,25751000.0,3639768000.0,,,,,,,,,,522000.0,,,34787500.0,128503236.0,3868387000.0,,,-38347000.0,,-92080000.0,,0.0,5477000.0,,368000.0,-60340000.0,,2508000.0,,,,,,,,468000000.0,,,,,,,,854981000.0,,,,,0.009,0.35,,-0.005,0.029,400000000.0,,,,,,,,,,3639768000.0,351195.0,22393000.0,,,,214000.0,17329000.0,55000.0,,,-436000.0,,1189841000.0,11298000.0,766427000.0,,-49920000.0,,50442000.0,-351195.0,,14298000.0,,,,,,,,-64661000.0,,,,,1177991000.0,,,,29829000.0,15000000.0,,,0.0,,,,,,0
9,11298000,,7716000.0,36247000.0,,3665519000.0,25751000.0,3639768000.0,,,,,,,,,523000.0,,,2.16,128503236.0,128503236.0,3868387000.0,,,,-18493000.0,,,0.0,,,46441000.0,12364000.0,,,,,,,,,,468000000.0,,,,,,,,757444000.0,,93258000.0,,0.34,,,,,,,50442000.0,,,,,,,,,3639768000.0,1230000.0,,,,,0.0,12870000.0,,,22033000.0,,,3665519000.0,11298000.0,766427000.0,,,,,20653000.0,,,,,,,,,,-1016841000.0,,,,,1185434000.0,,,,22578000.0,14775000.0,,,0.0,,,,,34788000.0,0
