,AccountsPayableCurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AccretionExpense,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockValue,ConvertibleDebtNoncurrent,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfServicesLicensesAndServices,CumulativeEarningsDeficit,DebtInstrumentConvertibleBeneficialConversionFeature,DeferredFederalIncomeTaxExpenseBenefit,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,DerivativeGainOnDerivative,DerivativeLiabilitiesCurrent,DerivativeLiabilitiesNoncurrent,DerivativeLossOnDerivative,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,FairValueAssumptionsExercisePrice,FairValueAssumptionsExpectedDividendRate,FairValueAssumptionsExpectedVolatilityRate,FairValueAssumptionsRiskFreeInterestRate,FederalIncomeTaxExpenseBenefitContinuingOperations,GainLossOnSaleOfDerivatives,GainsLossesOnExtinguishmentOfDebt,GainsLossesOnExtinguishmentOfDebtBeforeWriteOffOfDeferredDebtIssuanceCost,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncreaseDecreaseDueFromOfficersAndStockholders,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseLongTermDebt,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LicenseAndServicesRevenue,LicenseCosts,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseDirectorsFees,NoninterestExpenseTransferAgentAndCustodianFees,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherCostAndExpenseOperating,OtherExpenses,PaymentsToAcquireInvestments,PaymentsToAcquireOtherReceivables,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PrepaidExpenseCurrent,ProceedsFromCollectionOfOtherReceivables,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RetainedEarningsAccumulatedDeficit,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,y
0,600,47549.0,14056.0,23076.0,17000.0,15918.0,15918.0,15918.0,15918.0,15918.0,100000.0,0.001,-200.0,200000000.0,3000000.0,3000000.0,1140000.0,-20000.0,3000.0,107629.0,107629.0,7025.0,58829.0,-36933.0,-364295.0,718641.0,49837.0,51650.0,210.0,210.0,-77316.0,307567.0,208896.0,252683.0,600.0,194317.0,0.0,-0.0197,0.35,-0.35,1.35,0.0,3.81,0.0028,-17868.0,252683.0,-11462.0,-62500.0,600.0,12913.0,-20000.0,600.0,100.0,2000.0,23076.0,-71532.0,91.0,7025.0,56000.0,600.0,15918.0,600.0,1140000.0,630000.0,500.0,20000.0,-36933.0,-4082.0,-600.0,15775.0,1362.0,7455.0,-600.0,210.0,6278.0,600.0,100000.0,20000.0,0.001,100000000.0,0.0,71532.0,20000.0,20000.0,132200.0,5273.0,-600.0,-600.0,-600.0,12.0,20000.0,1800000.0,3000000.0,27000.0,20000.0,17868.0,656376.0,36000000.0,0
1,600,14056.0,24783.0,23076.0,17000.0,34087.0,34087.0,34087.0,34087.0,-15918.0,100000.0,0.001,252000.0,200000000.0,3000000.0,3000000.0,1140000.0,,3000.0,,107629.0,26722.0,58829.0,510000.0,-387710.0,,,1070763.0,,,,163211.0,266628.0,,600.0,194317.0,,-0.0085,,,,0.0,,,-356690.0,,,,,6058.0,,,10594.0,,55772.0,,8127.0,,,600.0,34087.0,600.0,,,54473.0,,,,,,682.0,6855.0,,,1603.0,,100000.0,20000.0,0.001,100000000.0,0.0,59032.0,,,,3773.0,,,-600.0,,20000.0,21600000.0,3000000.0,27000.0,20000.0,356690.0,712132.0,,0
2,600,24783.0,52512.0,23076.0,17000.0,24883.0,24883.0,24883.0,24883.0,,130000.0,0.001,348000.0,200000000.0,3000000.0,3000000.0,250000.0,-20000.0,3000.0,,,58829.0,58829.0,,-686856.0,,76922.0,,2306.0,2306.0,,178258.0,318234.0,252683.0,600.0,133817.0,0.0,-0.0024,0.35,-0.35,,0.0,,,,252683.0,-11462.0,-62500.0,7455.0,22217.0,20000.0,3373.0,18749.0,,-4474.0,-59032.0,,18991.0,133500.0,600.0,24883.0,600.0,228000.0,630000.0,,,-100000.0,,-7455.0,15000.0,6240.0,13513.0,-7455.0,2306.0,1593.0,6855.0,130000.0,,0.001,100000000.0,0.0,26210.0,,20000.0,213180.0,8884.0,-51050.0,-51650.0,-600.0,,20000.0,21600000.0,3000000.0,27000.0,,,9104352.0,3000000.0,0
3,600,25627.0,18228.0,46088.0,-16000.0,6544.0,6544.0,6544.0,6544.0,34087.0,,0.001,348000.0,200000000.0,36000000.0,3000000.0,400000.0,,36000.0,,,38637.0,58829.0,,-319299.0,,,748736.0,18078.0,14195.0,,178258.0,,252683.0,7455.0,133817.0,,-0.0008,0.35,,,0.0,,,36597.0,252683.0,,,6855.0,9304.0,20000.0,2773.0,95486.0,,,,7879.0,,,600.0,6544.0,600.0,120000.0,510000.0,,47000.0,-100000.0,-12913.0,-6855.0,,1240.0,12913.0,-6855.0,18078.0,5064.0,51050.0,,,0.001,100000000.0,0.0,26210.0,20000.0,47000.0,,1500.0,,-51650.0,-600.0,,,,36000000.0,,20000.0,58309.0,11520000.0,36000000.0,0
4,3373,14900.0,150746.0,60391.0,17000.0,6544.0,,6544.0,,,,0.001,,200000000.0,3000000.0,4800000.0,400000.0,,3000.0,,,,107629.0,,319229.0,,,1026397.0,,26923.0,,178258.0,,,22817.0,133817.0,,-0.0022,0.35,,,0.0,,,47327.0,30579.0,,,13513.0,-25272.0,,600.0,159809.0,,,,25422.0,,,3373.0,6544.0,3373.0,120000.0,,56473.0,,,,-13513.0,,2640.0,6058.0,-13513.0,,1023.0,25272.0,,,0.001,100000000.0,0.0,26210.0,20000.0,,,21609.0,-1019113.0,-51650.0,,,,,,,20000.0,77182.0,11520000.0,3560659.0,0
5,600,,,60391.0,42200.0,6544.0,21.0,6544.0,21.0,24883.0,,0.001,,200000000.0,4800000.0,,,,4800.0,,,,107629.0,,-288236.0,,,,26923.0,,-217605.0,,,,,133817.0,-0.01,-0.0837,0.21,,,,,,,17093.0,-11462.0,,12913.0,965013.0,,100.0,,,,20622.0,,14056.0,133500.0,600.0,6544.0,600.0,120000.0,228000.0,,47000.0,,-22117.0,-12913.0,65000.0,4390.0,,-12913.0,26923.0,12800.0,,,,0.001,100000000.0,,,20000.0,27000.0,19950.0,45113.0,,,12545.0,,,,4320000.0,,27000.0,,11520000.0,3793480.0,0
6,700,52512.0,,60391.0,42200.0,,2865.0,,,,,0.001,,200000000.0,4800000.0,,,,4800.0,,,,12151.0,,-209884.0,,,,374767.0,,,297792.0,,,,,0.0,-0.083,,,,,,,,30579.0,,,6058.0,,,10594.0,194317.0,,,,17295.0,24783.0,,700.0,,700.0,,,2000.0,,,,,,,22217.0,-6058.0,374767.0,,,,,0.001,100000000.0,,5588.0,,,,,,,33487.0,,,,,,133400.0,,,4800000.0,0
7,11194,,,60391.0,35480.0,,18370.0,,,6544.0,,0.001,,200000000.0,11520000.0,,,,11520.0,,,,7079.0,,-259832.0,,,,,,-292325.0,318234.0,,,,133817.0,0.0,-0.0815,,,,,,,,30579.0,116703.0,,22217.0,939740.0,,,291761.0,,,26210.0,,39683.0,13621.0,11194.0,,11194.0,,,,47000.0,,-40456.0,-6058.0,111250.0,1750.0,,-22217.0,,,,,,0.001,100000000.0,,10379.0,,27000.0,62950.0,23503.0,-1592899.0,-76922.0,24183.0,,,,,,,,,48566136.0,0
8,11194,18228.0,,,35480.0,21.0,,,,,,,,,11520000.0,,,,11520.0,,,,33402.0,,334453.0,,,,262058.0,,,318234.0,,,,133817.0,,,,,,,,,,,-550962.0,,9304.0,,,18749.0,67310.0,,,,11526.0,52512.0,24000.0,11194.0,21.0,11194.0,,,56473.0,,,,,,,9304.0,-9304.0,262058.0,,,,,,,0.0,,,,,,-592899.0,-1016663.0,-4650.0,,,,,,24000.0,,,,0
9,11194,29088.0,,23173.0,35480.0,71609.0,,,,,,,,,11520000.0,,,,11520.0,,,,128737.0,,,,,,582282.0,,-12098.0,318234.0,,,,133817.0,0.0,-0.076,,,,,,,,,-667665.0,,51050.0,890224.0,,74368.0,85095.0,,,26210.0,59075.0,,24000.0,11194.0,71609.0,,,,,,,,-22217.0,7500.0,5330.0,,-51050.0,582282.0,17297.0,,,,,,0.0,,,,91950.0,63697.0,-451932.0,-941874.0,,,,,,,,,11720000.0,57600000.0,0
