,AccountsPayableCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsSold,DebtInstrumentDecreaseForgiveness,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DepositsAssetsCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidExpensesOther,InterestPaid,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProfitLoss,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsNet,SellingGeneralAndAdministrativeExpense,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,y
0,0,30600.0,0.0,6388.0,6388.0,1263.0,1263.0,1263.0,6462.0,0.001,75000000.0,6000000.0,6000000.0,6000.0,5125.0,0.0,20576.0,-130800.0,5125.0,11500.0,0.0,0.21,12229.0,2563.0,-35443.0,0.0,0.0,3.0,0.0,-5125.0,5125.0,5000.0,5000.0,0.0,500,6388.0,500.0,500.0,6500.0,11000.0,0.0,0.0,-5237.0,-4538.0,-112.0,112.0,-112.0,-228800.0,0.001,20000000.0,0.0,0.0,0.0,0.0,6000.0,11000.0,500.0,-112.0,-112.0,7688.0,7688.0,112.0,0.01,-7425.0,5888.0,1000000.0,32700.0,9700.0,6000000.0,0
1,260,30600.0,0.0,4335.0,4335.0,7725.0,1262.0,-529.0,-4304.0,0.001,75000000.0,6000000.0,6000000.0,6000.0,,11500.0,48045.0,,,0.0,,,3968.0,,-130805.0,,0.0,260.0,0.0,5125.0,0.0,,3700.0,0.0,11760,4335.0,11760.0,11500.0,5000.0,21200.0,0.0,0.0,-5529.0,-25504.0,-5529.0,5529.0,-5529.0,,0.001,20000000.0,0.0,0.0,5000.0,200.0,0.0,0.0,5000.0,-5529.0,-13425.0,,,5529.0,0.01,-7425.0,-7425.0,1000000.0,,,,0
2,260,,0.0,4335.0,4335.0,4335.0,1263.0,-760.0,-4335.0,0.001,75000000.0,6000000.0,6000000.0,6000.0,-5125.0,11500.0,,,,28238.0,0.0,,25244.0,2563.0,,0.0,,-260.0,5000.0,,0.0,-5000.0,5000.0,,11760,4335.0,11760.0,11500.0,7500.0,,,,-8260.0,,-8260.0,8260.0,-8260.0,,0.001,20000000.0,,,5000.0,200.0,0.0,5700.0,7500.0,-8260.0,-13425.0,,7688.0,8260.0,,31.0,-7425.0,310000.0,,,7786679.0,0
3,260,,0.0,4335.0,4335.0,4335.0,734.0,3072.0,0.0,0.001,75000000.0,6000000.0,6000000.0,6000.0,0.0,0.0,,,,28238.0,,,3271.0,0.0,,,,-260.0,3700.0,,0.0,,,,11760,4335.0,11760.0,11500.0,11000.0,,,,-7928.0,,-2731.0,2731.0,-2731.0,,0.001,20000000.0,,,5000.0,0.0,0.0,11364.0,11000.0,-13313.0,-13425.0,,0.0,2731.0,,0.0,-7425.0,310000.0,,,8100000.0,0
4,260,,0.0,4335.0,4335.0,31.0,503.0,1131.0,0.0,0.001,75000000.0,6000000.0,6000000.0,6000.0,,0.0,,,,28238.0,0.0,,25275.0,,,0.0,,-260.0,,,0.0,,,,11760,4335.0,11500.0,,21000.0,,,,-19869.0,,-9666.0,12229.0,-9666.0,,0.001,20000000.0,,,5000.0,2655.0,0.0,14243.0,0.0,-19609.0,-13425.0,,,15876.0,,,-6034.0,470000.0,,,7779508.0,0
5,0,,18900.0,5466.0,5466.0,0.0,4335.0,-1233.0,0.0,0.001,,8100000.0,8100000.0,8100.0,0.0,0.0,,,,28238.0,0.0,,5700.0,0.0,,,,-260.0,,,0.0,,,,11500,5466.0,11500.0,,21000.0,,,,-22233.0,,-1405.0,3968.0,-1405.0,,,,,,,0.0,10000.0,28238.0,0.0,-21973.0,-33034.0,,0.0,19609.0,,-23838.0,-8398.0,470000.0,,,8100000.0,0
6,0,,18900.0,3102.0,3102.0,0.0,4335.0,0.0,0.0,0.001,,8100000.0,8100000.0,8100.0,,0.0,,,,,0.0,,14519.0,,,0.0,,3155.0,,,,,,,11500,3102.0,,,21000.0,,,,-25535.0,,-13313.0,15876.0,-13313.0,,,,,,,0.0,10000.0,,,-35443.0,-35398.0,,,21973.0,,-23838.0,,160000.0,,,8100000.0,0
7,0,,30600.0,31.0,31.0,0.0,4335.0,0.0,,,75000000.0,8100000.0,8100000.0,8100.0,,,,,,33765.0,,,8819.0,,,,,2948.0,,,,,,,0,31.0,,,5700.0,,,,-5700.0,,-19609.0,19609.0,-19609.0,,,,,,0.0,,3100.0,5527.0,,-130805.0,-38669.0,,,2364.0,,-23838.0,,160000.0,,,,0
8,600,,30600.0,0.0,0.0,0.0,5466.0,,0.0,,75000000.0,8100000.0,8100000.0,8100.0,,,,,,32804.0,0.0,,19845.0,,,0.0,,600.0,,,,,,,28238,0.0,,,11364.0,,,,-11364.0,,-21973.0,21973.0,-21973.0,,,,,,1300.0,,3100.0,,,,-38700.0,,,,,-23838.0,,,,,8100000.0,0
9,600,,30600.0,0.0,5000.0,,3102.0,,0.0,,75000000.0,8100000.0,8100000.0,8100.0,,,,,,39937.0,,,5326.0,,,,,,,,,,,,28838,5000.0,,,16898.0,,,,-16898.0,,-2364.0,2364.0,-2364.0,,,,,,0.0,,4700.0,4566.0,,,-62538.0,,,,,,,,,,,0
