,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AdditionalPaidInCapital,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,CommonUnitOutstanding,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CurrentFederalTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentDecreaseForgiveness,DebtInstrumentIncreaseAccruedInterest,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositLiabilitiesAccruedInterest,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EquityMethodInvestmentOwnershipPercentage,FederalIncomeTaxExpenseBenefitContinuingOperations,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseRelatedParty,InterestPaid,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherIncome,PartnersCapitalAccountContributions,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValueOutstanding,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalFees,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,y
0,3000,100.0,1684.0,0.0,0.0,205.0,205.0,205.0,438.0,-233.0,567.0,-567.0,842.0,-22.0,0.001,45000000.0,5073000.0,5073000.0,5073.0,5073.0,5073000.0,8171.0,0.0,-7156.0,0.0,0.0,0.0,0.0,0.0,25842.0,-25842.0,0.0,14320.0,0.0,0.21,0.69,-11732.0,0.0,656.0,-6488.0,-6488.0,-34079.0,0.0,0.0,0.0,11732.0,3000.0,-3000.0,14320.0,3255.0,-1000.0,0.0,-1698.0,0.0,3000.0,205.0,3000.0,3255.0,0.0,-3488.0,-6488.0,64410.0,26435.0,7261.0,-17930.0,110086.0,1117.0,952.0,0.001,5000000.0,0.0,0.0,0.0,500.0,1000.0,23358.0,14320.0,6605.0,0.0,-9552.0,10.0,773.0,-2795.0,-17983.0,0.0,0.0,5073000.0,5073000.0,0
1,5802,100.0,18444.0,1698.0,0.0,1838.0,1838.0,1838.0,205.0,-11.0,,,842.0,2439.0,0.001,45000000.0,5073000.0,5073000.0,5073.0,5073.0,5073000.0,8171.0,13619.0,-5113.0,0.0,0.0,-20015.0,400.0,0.0,23118.0,-23118.0,400.0,,0.0,0.21,0.69,-7156.0,836.0,124.0,-9011.0,-10709.0,-667.0,0.0,0.0,0.0,7156.0,-3000.0,-3000.0,14320.0,0.0,,-14018.0,-5395.0,0.0,19821.0,1838.0,19821.0,12000.0,0.0,-12011.0,-10709.0,,26435.0,9124.0,-16331.0,145415.0,,,0.001,5000000.0,0.0,0.0,0.0,500.0,,,,9000.0,-2500.0,-41500.0,10.0,113.0,-17983.0,-33864.0,90.0,0.0,5073000.0,5073000.0,0
2,5802,100.0,18444.0,5395.0,0.0,1838.0,1838.0,1838.0,205.0,166.0,567.0,,842.0,-1262.0,0.001,45000000.0,5073000.0,5073000.0,5073.0,5073.0,5073000.0,8171.0,13619.0,,,0.0,,,,,23118.0,,14320.0,0.0,,0.69,,,247.0,-8834.0,-14229.0,-11987.0,0.0,0.0,,,2802.0,2802.0,11564.0,,500.0,,-3697.0,0.0,19821.0,1838.0,19821.0,12000.0,0.0,-11834.0,-14229.0,,26435.0,9247.0,-27633.0,,1117.0,,0.001,5000000.0,0.0,0.0,0.0,500.0,,,,9000.0,,-41500.0,10.0,413.0,-17983.0,-67943.0,,,5073000.0,5073000.0,0
3,5802,1400.0,18444.0,9273.0,0.0,1838.0,1838.0,1838.0,205.0,-4.0,567.0,,888.0,-996.0,0.001,45000000.0,5073000.0,5073000.0,5073.0,5073.0,,8171.0,17634.0,-5322.0,,3085521.0,,,,28230.0,28230.0,,14320.0,,,,,,123.0,177.0,-3520.0,-11320.0,,0.0,,5113.0,-5402.0,-5702.0,,,500.0,,-9441.0,0.0,19821.0,1838.0,19821.0,15260.0,0.0,-15264.0,-3520.0,,29035.0,123.0,-24346.0,,,,0.001,5000000.0,0.0,0.0,0.0,500.0,,,,0.0,,-41500.0,,300.0,-17983.0,,,,,,0
4,5802,100.0,18444.0,13619.0,,1838.0,1838.0,1838.0,206.0,1633.0,,,789.0,46.0,0.001,45000000.0,5073000.0,5073000.0,5073.0,5073.0,,10956.0,8171.0,-2306.0,,5703.0,,,,,,,14320.0,0.0,,,,,1226.0,-12265.0,-21706.0,-20410.0,0.0,0.0,,,,-5702.0,12189.0,,-500.0,,-4046.0,0.0,19821.0,1838.0,19821.0,16760.0,0.0,-15127.0,-21706.0,,35358.0,12726.0,,,1117.0,,0.001,5000000.0,0.0,0.0,0.0,,,,,11500.0,,-41500.0,,461.0,-17983.0,,,,5073000.0,5073000.0,0
5,400,,24147.0,,,1816.0,1816.0,1816.0,195.0,-22.0,,,,,0.001,45000000.0,5073000.0,5073000.0,5163.0,5073.0,,,8171.0,,,0.0,,,,30536.0,30536.0,,25884.0,-0.01,,,,,1370.0,-17930.0,-31948.0,-24346.0,0.0,0.0,,2306.0,-5702.0,,12814.0,,-500.0,,-4250.0,0.0,18669.0,1816.0,18669.0,5703.0,0.0,-5725.0,-31948.0,,64410.0,18672.0,,,1117.0,,0.001,5000000.0,0.0,0.0,0.0,,,,,17302.0,,-46073.0,,742.0,-16853.0,,,,5073000.0,5073000.0,0
6,100,,34061.0,7215.0,,4277.0,4277.0,4277.0,371.0,2439.0,,,,-157.0,0.001,45000000.0,5073000.0,5073000.0,5163.0,5073.0,,,10956.0,,,0.0,,,,,,,26509.0,,,,,,,-323.0,,,,0.0,,,-5702.0,,,,500.0,,,0.0,21807.0,4277.0,21095.0,,0.0,,,,64410.0,,,,,,0.001,5000000.0,0.0,0.0,0.0,,,,,,,-56664.0,,,-17530.0,,,,5073000.0,,0
7,100,,35561.0,,,576.0,576.0,576.0,201.0,1238.0,,,,,0.001,45000000.0,5073000.0,5073000.0,5273.0,,,,12483.0,,,0.0,,,,,,,27134.0,0.0,,,,,125.0,,-4573.0,,0.0,,,,1300.0,,12189.0,,-500.0,,-7688.0,0.0,25485.0,576.0,23706.0,15167.0,0.0,-13178.0,-4573.0,,64410.0,425.0,,,,,0.001,5000000.0,0.0,0.0,0.0,,,,,300.0,,-65543.0,,102.0,-24909.0,,,,5073000.0,5073000.0,0
8,100,,36980.0,13102.0,,842.0,842.0,842.0,1838.0,-2505.0,,,,-275.0,0.001,45000000.0,5073000.0,5073000.0,5073.0,,,,,,,,,,,,,,26509.0,,,,,,,-7476.0,,-2832.0,0.0,,,,,,,,-500.0,,,0.0,34706.0,842.0,8271.0,15617.0,90.0,,,,,,,,,,0.001,5000000.0,0.0,0.0,0.0,,,,,,,-76007.0,,,-33864.0,,,,,5133000.0,0
9,4600,,36980.0,2785.0,,842.0,842.0,567.0,1838.0,-275.0,,,,-567.0,,,,,5073.0,,,,,,,,,,,,,,26509.0,,,,,,,-7153.0,,-6735.0,0.0,,,,,,,,,,,,34706.0,842.0,8271.0,17117.0,,,,,,,,,,,,,,,,,,,,,,-76007.0,,,-33864.0,,,,,5148083.0,0
