,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccruedSalariesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedDepreciationDepletionAndAmortizationSaleOfPropertyPlantAndEquipment1,AdditionalPaidInCapital,AdjustmentForAmortization,AllowanceForDoubtfulAccountsReceivable,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCostsAndDiscounts,AmortizationOfIntangibleAssets,Assets,AssetsCurrent,AssetsNoncurrent,BusinessCombinationAcquisitionRelatedCosts,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,ClassOfWarrantOrRightOutstanding,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsSold,CostOfGoodsSoldDepreciationAndAmortization,CostOfRevenue,CurrentIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilitiesCurrent,Depreciation,DepreciationAndAmortization,DerivativeGainLossOnDerivativeNet,DerivativeLiabilitiesCurrent,Dividends,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,FiniteLivedIntangibleAssetsAccumulatedAmortization,GainLossOnDerivativeInstrumentsNetPretax,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInEnactedTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInIncomeTaxes,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,InterestExpenseDebt,InterestPaid,InventoryNet,InventoryNoncurrent,InvestmentBankingAdvisoryBrokerageAndUnderwritingFeesAndCommissions,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MarketingAndAdvertisingExpense,MarketingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpensePrintingAndFulfillment,NonoperatingIncomeExpense,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherAssets,OtherCostAndExpenseOperating,OtherGeneralExpense,OtherNonoperatingIncomeExpense,OtherOperatingIncome,PaymentsToAcquireProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProductionAndDistributionCosts,ProductionCosts,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOther,PropertyPlantAndEquipmentOtherNet,ProvisionForDoubtfulAccounts,RentalIncomeNonoperating,RetainedEarningsAccumulatedDeficit,Revenues,RevenuesNetOfInterestExpense,SalesCommissionsAndFees,SalesRevenueGoodsNet,SalesRevenueNet,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeituresWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsExercised,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValuePurchaseOfAssets,Supplies,TechnologyServicesCosts,TravelAndEntertainmentExpense,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,y
0,15000,0.0,20000.0,25000,0.0,0.0,-1286,1144.0,51988.0,0.0,0.0,0.0,53887.0,-26700.0,121397,99799,21598.0,0.0,74799.0,67688.0,0.0,0.0,451000.0,0.0,0.0,0.001,75000000.0,8836250.0,8836250.0,8837.0,13250.0,933.0,0.0,505.0,7341.0,0.0,7341.0,6836.0,1144.0,2288.0,0.0,0.0,322955.0,0.15,0.15,0.0,56880.0,8550.0,1674.0,85250.0,0.0,-5738.0,0.0,15.0,20000.0,0.0,-25000.0,6836.0,7341.0,0.0,505.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,21836,121397,21836,599.0,25000.0,34750.0,-21225.0,54163.0,32517.0,0.0,-5738.0,0.0,46995.0,38255.0,150.0,34863.0,17022.0,513.0,0.0,0.0,13694.0,0.0,21225.0,0.0,34750.0,30000.0,810.0,0.0,13875.0,-8296.0,22884.0,21598.0,22884.0,0.0,0.0,-150.0,38736,10000.0,25500.0,0.0,98500.0,98500.0,0.0,0.0,0.0,451000.0,0.25,0.0,0.0,0.25,0.0,1093.0,1737500.0,0.0,34750.0,19975.0,0.0,5709.0,0.0,83.0,6276780.0,8836250.0,0
1,15000,10000.0,,25000,0.0,0.0,1286,2288.0,51988.0,0.0,20000.0,,228887.0,-25000.0,121397,99799,21598.0,,210.0,-33207.0,0.0,0.0,939583.0,0.0,0.0,0.02,75000000.0,8836250.0,8836250.0,8837.0,0.0,,,-5477.0,5228.0,0.0,5228.0,6836.0,1144.0,3432.0,123438.0,0.0,,0.15,,,-44465.0,0.0,1448.0,44500.0,0.0,-2060.0,0.0,15.0,-13641.0,10000.0,-27500.0,7341.0,1864.0,0.0,-2169.0,0.0,5709.0,,0.0,0.0,5709.0,,580000.0,,21836,121397,21836,599.0,20500.0,0.0,0.0,-33207.0,11671.0,,-2060.0,0.0,30769.0,13731.0,375.0,635703.0,17022.0,,,,-12290.0,8550.0,22884.0,0.0,0.0,,110.0,,7375.0,-8296.0,22884.0,17022.0,22884.0,,20000.0,,38736,25500.0,15500.0,,44500.0,44500.0,580000.0,0.0,0.0,451000.0,0.25,0.0,0.0,0.123,0.0,99561.0,1737500.0,0.0,34750.0,19975.0,0.0,,5000.0,,,8836250.0,0
2,15000,0.0,,25000,752.0,0.0,4718,1144.0,51988.0,,20000.0,0.0,,,113177,95011,18166.0,0.0,67898.0,17255.0,,0.25,,451000.0,0.0,0.02,75000000.0,8836250.0,8836250.0,8837.0,,4576.0,0.0,,,,,5775.0,4576.0,4576.0,653981.0,234205.0,,,,0.0,,,12055.0,95392.0,0.0,2417.0,0.0,15.0,-2417.0,,0.0,7341.0,,56880.0,-5477.0,752.0,,0.0,0.0,,,,621450.0,0.0,20775,113177,20775,0.0,42430.0,0.0,0.0,17255.0,2853.0,1199.0,-505.0,8230.0,92034.0,3358.0,225.0,,14733.0,867.0,1877.0,0.0,,,22884.0,100000.0,,,0.0,0.0,32106.0,-8295.0,22884.0,17022.0,22884.0,0.0,,,31577,15500.0,24700.0,0.0,19500.0,95392.0,,,,,,,,,,,0.0,0.0,,19975.0,,,33500.0,,8836250.0,,0
3,1359,,,52500,5891.0,0.0,5862,2288.0,51988.0,0.0,20000.0,,,,111114,94092,17022.0,,74799.0,18998.0,0.0,0.123,,939583.0,0.0,0.001,75000000.0,8836250.0,8836250.0,8837.0,0.0,1144.0,,,,,,7341.0,1144.0,1144.0,,838403.0,,,0.21,-833.0,,,478.0,19500.0,,2507.0,0.0,15.0,0.0,,0.0,7341.0,,-44465.0,-7341.0,5891.0,,,0.0,0.0,,,100000.0,,8700,111114,8700,599.0,700.0,34750.0,-22884.0,18998.0,13694.0,,-2417.0,60148.0,3389.0,16111.0,615.0,,13590.0,867.0,,,,,22884.0,275000.0,30000.0,,,,200.0,2744.0,17022.0,17022.0,22884.0,49167.0,,,41589,29250.0,19500.0,,26700.0,19500.0,,,,,,,,,,99561.0,0.0,0.0,,30400.0,41450.0,,0.0,,8836250.0,,0
4,1359,,,52500,,0.0,5862,,,0.0,0.0,8230.0,,,111114,94092,,5000.0,74799.0,-4787.0,0.0,,,,0.0,0.001,,,,,,2288.0,0.0,,131404.0,0.0,131404.0,7341.0,2288.0,2288.0,,,,,,-3333.0,,,725.0,26700.0,,90.0,0.0,,0.0,,-27500.0,5172.0,,,-7341.0,,,752.0,0.0,0.0,,,,2100.0,8700,111114,8700,0.0,0.0,0.0,0.0,-4787.0,14203.0,,-2507.0,,9990.0,-8219.0,240.0,,12446.0,867.0,,-189300.0,,,22884.0,,,,25000.0,20000.0,5300.0,2744.0,17022.0,,,46667.0,0.0,,41589,3750.0,,6000.0,7200.0,26700.0,,,,,,,,,,92402.0,0.0,,,0.0,41450.0,,,0.0,,,0
5,1359,,,52500,,0.0,5862,,51988.0,,20000.0,,,,111114,94092,,7500.0,74799.0,,0.0,,,,0.0,0.001,75000000.0,8836250.0,8836250.0,8837.0,0.0,1144.0,,,,,,7341.0,1144.0,,,,,,,-3333.0,,,246.0,7200.0,,-1061.0,,,-13641.0,,-25000.0,1854.0,,,,,,,,0.0,,,,,8700,111114,8700,0.0,,0.0,0.0,,510.0,,-90.0,,6600.0,,150.0,,,0.0,,,,,22884.0,,,,27000.0,,5100.0,-565324.0,17022.0,,,46667.0,,,41589,39250.0,,,39392.0,7200.0,,,,,,,,,,102414.0,19975.0,,,,,,,,8836250.0,8836250.0,0
6,7000,,,22100,,,7006,,51988.0,,,,,,102296,86418,,25000.0,,22726.0,0.0,,,,,,75000000.0,8836250.0,8836250.0,8837.0,0.0,,,,,,,5172.0,4576.0,,,,,,,,,,7235.0,12692.0,0.0,-505.0,0.0,,2169.0,,29000.0,,,,0.0,,,,0.0,0.0,,,,250.0,12172,102296,12172,220721.0,21660.0,0.0,,22726.0,-21362.0,,3568.0,,37622.0,3358.0,455.0,,12446.0,0.0,,,,,22884.0,,,,29110.0,,7500.0,-7602.0,15878.0,13590.0,,,,,29299,,,,,12692.0,,,,,,,,,,102414.0,0.0,,,602500.0,,,,,8836250.0,,0
7,0,,,23500,,0.0,8151,,51988.0,2500.0,,,,,73239,58506,,,93797.0,22726.0,0.0,,,,0.0,,75000000.0,8836250.0,8836250.0,8837.0,,,0.0,,,,,1864.0,,1144.0,,,,,,-5833.0,,,,,0.0,-2169.0,,,-1359.0,,,,,,0.0,,,,,0.0,,,,100.0,1864,73239,1864,165141.0,,0.0,,22726.0,,,,,,51462.0,205.0,,11302.0,867.0,,,,,,,,,,,,-293048.0,14733.0,12446.0,22884.0,44167.0,,,10550,24700.0,,,26700.0,,,,,,,,,,,102414.0,0.0,,,,,,,,,,0
8,0,,,23500,,0.0,9294,,,5000.0,,,,,44136,30546,,,70012.0,-6586.0,,,,,,0.001,,,,,0.0,1286.0,,,,,,0.0,4576.0,4576.0,,,,,,-8333.0,,,12055.0,95392.0,0.0,-2169.0,,,,,29000.0,,,,0.0,,,,,,,,,455.0,0,44136,0,,42430.0,30000.0,,-6586.0,2853.0,,505.0,,92034.0,-14459.0,,,10157.0,2118.0,,,,,,,,,132.0,,32106.0,-293048.0,13590.0,,,41667.0,,,-16689,,,,10000.0,95392.0,,,,,,,,,,,,,,0.0,,,,,8836250.0,,0
9,2600,,,10500,,0.0,10438,,51988.0,2500.0,,,,,28562,16116,,,70011.0,,,,,,0.0,0.001,75000000.0,8836250.0,8836250.0,8837.0,,1144.0,0.0,,,,,0.0,,,,,,,,-10833.0,,,2739.0,105250.0,,-5477.0,0.0,,-1359.0,,,,,,,,,,0.0,,,,,205.0,2600,28562,2600,,25370.0,,,,43743.0,,-7719.0,,53788.0,-14459.0,,,58181.0,849.0,,,,,,,,,,,14275.0,-700369.0,12446.0,12446.0,,39167.0,,,-34863,19500.0,,,25500.0,118500.0,,,,,,,,,,,0.0,,,100000.0,,,,,,,0
