,AccountsPayableCurrent,AccumulatedDepreciationDepletionAndAmortizationSaleOfPropertyPlantAndEquipment1,AdditionalPaidInCapital,AdditionsToOtherAssetsAmount,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValueIncludingDiscontinuedOperations,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsSold,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,Depreciation,DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,DiscontinuedOperationIntraEntityAmountsDiscontinuedOperationAfterDisposalRevenue,DiscontinuedOperationProvisionForLossGainOnDisposalBeforeIncomeTax,DiscontinuedOperationTaxEffectOfAdjustmentToPriorPeriodGainLossOnDisposal,DisposalGroupIncludingDiscontinuedOperationCostsOfGoodsSold,DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,DisposalGroupIncludingDiscontinuedOperationGrossProfitLoss,DisposalGroupIncludingDiscontinuedOperationOtherAssets,EarningsPerShareBasicAndDiluted,EmployeeRelatedLiabilitiesCurrent,EquipmentExpense,ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInPostretirementObligations,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInRestrictedCash,IncreaseDecreaseInRestrictedCashForOperatingActivities,InterestPaid,InventoryFinishedGoodsNetOfReserves,InventoryRawMaterials,InventoryWriteDown,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,LoansAndLeasesReceivableRelatedParties,LoansPayableCurrent,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInDiscontinuedOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwardsValuationAllowance,OtherCostOfServices,PaymentsToAcquireFederalHomeLoanBankStock,PaymentsToAcquireLoansReceivable,PaymentsToAcquireOtherProductiveAssets,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromOtherShortTermDebt,ProceedsFromRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentDisposals,PropertyPlantAndEquipmentNet,PublicUtilitiesPropertyPlantAndEquipmentAccumulatedDepreciation,ReductionOfShortTermCapitalLeaseObligations,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsNet,StockholdersEquity,StockIssuedDuringPeriodValueOther,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CostOfGoodsAndServicesSold,DiscontinuedOperationTaxEffectOfDiscontinuedOperation,DueToRelatedPartiesCurrent,GainLossOnDispositionOfRealEstateDiscontinuedOperations,UnsecuredDebt,DeferredTaxAssetsOperatingLossCarryforwards,EffectiveIncomeTaxRateContinuingOperations,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,InterestIncomeExpenseNet,ProvisionForDoubtfulAccounts,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,DueFromRelatedParties,ProceedsFromPaymentsForLongTermLoansForRelatedParties,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,y
0,0,91.0,0.0,2741.0,0.0,5925.0,5925.0,3745.0,3745.0,13525.0,-2905.0,0.0,3000.0,-2741.0,-3094.0,0.0,0.001,75000000.0,2000.0,2000000.0,0.001,0.0,0.0,26.0,0.0,-4402.0,-3216.0,7350.0,-3216.0,-75.0,1149.0,10603.0,6201.0,23832.0,0.0,4000.0,0.0,0.0,0.0,0.0,-6305.0,-775.0,-1185.0,0.0,0.0,0.0,775.0,300.0,3000.0,-979.0,19000.0,-366.0,-2180.0,0.0,3745.0,0.0,0.0,6462.0,0.0,0.0,7300.0,5925.0,5925.0,4000.0,7300.0,-19000.0,4000.0,-3164.0,-2905.0,0.0,6000.0,0.0,-1951.0,0.0,-2255.0,0.0,0.0,-3216.0,-26.0,2741.0,16527.0,0.0,0.0,2180.0,2000.0,16527.0,10486.0,19000.0,0.0,2741.0,0.0,0.0,-10626.0,-75.0,0.0,4850.0,1925.0,20912.0,1496.0,0.0,2000000.0,15034.0,-1951.0,0.0,0.0,19000.0,5906.0,38829.0,5276.0,0.21,-3937.0,0.0,0.0,0.0,43348.0,12361.0,0.0,0.0,0
1,300,228.0,0.0,2741.0,0.0,5925.0,5925.0,1951.0,3745.0,,-2835.0,-2835.0,3000.0,-2741.0,-7006.0,,0.001,75000000.0,2000000.0,2000000.0,0.001,,0.0,26.0,0.0,-1850.0,-10603.0,2500.0,-5906.0,-6305.0,,3497.0,2312.0,23832.0,,7000.0,-2741.0,,,,-5906.0,,-1850.0,,0.0,0.0,,,3000.0,-790.0,19000.0,,-5380.0,940.0,-1794.0,-790.0,0.0,,0.0,-4771.0,7300.0,5925.0,4000.0,4000.0,7300.0,-19000.0,,-2105.0,-3094.0,3000.0,16527.0,0.0,-1951.0,-3094.0,-15220.0,,,-5906.0,-26.0,,,4000.0,-10486.0,2180.0,20912.0,20912.0,,,-75.0,2741.0,366.0,0.0,,-75.0,,,1925.0,,629.0,,2000000.0,12034.0,-1951.0,,,19000.0,5906.0,48829.0,19142.0,0.21,-13866.0,0.0,0.0,0.0,92177.0,,-28483.0,,0
2,0,366.0,0.0,,0.0,5925.0,,13985.0,3745.0,,9780.0,9780.0,3000.0,-2741.0,-10486.0,0.0,0.001,75000000.0,2417650.0,,0.001,0.0,,26.0,228.0,-6305.0,-1185.0,16835.0,,,1685.0,17000.0,15150.0,23832.0,0.0,,-2741.0,,75.0,0.0,-6681.0,-3240.0,2552.0,0.0,,0.0,1225.0,,3000.0,-6462.0,19000.0,,,1870.0,,-6462.0,0.0,,,,7300.0,,4000.0,,7300.0,-19000.0,4000.0,0.0,-7006.0,3000.0,23912.0,-2741.0,,,,-75.0,75.0,-775.0,,10486.0,,3000.0,,,,,,19000.0,-4402.0,2741.0,,,,-75.0,0.0,,-6380.0,,,405479.0,,-10726.0,0.0,0.0,0.0,48829.0,0.0,48829.0,,,,,,0.0,104538.0,,,-36000.0,0
3,775,-15220.0,,,,,5925.0,13985.0,3745.0,,-1794.0,,3000.0,,,0.0,0.001,,,,,960.0,0.0,,366.0,-5906.0,-17000.0,9485.0,,,536.0,6397.0,8949.0,23832.0,0.0,,,,7106.0,3890.0,-775.0,-2465.0,-6305.0,,0.0,0.0,,,3000.0,-4771.0,,,,,,,0.0,,0.0,,0.0,4523.0,,4000.0,7300.0,-19000.0,7000.0,-5015.0,-15220.0,,20912.0,-2741.0,,-7006.0,,-6305.0,7106.0,,-1522.0,,,3000.0,,2180.0,,,,,-1850.0,,,0.0,,,7350.0,,16532.0,,,2000000.0,2037163.0,-12984.0,0.0,0.0,0.0,48829.0,0.0,48829.0,19261.0,0.21,-119.0,0.0,,0.0,,,,,0
4,1225,,,,2513.0,2010.0,4523.0,13985.0,,,-1951.0,,-1951.0,,,0.0,,,,2000000.0,,1149.0,0.0,1522.0,,-5906.0,-6397.0,27335.0,,,3375.0,30265.0,23960.0,0.0,0.0,,0.0,,10603.0,6201.0,-9146.0,-12840.0,5906.0,0.0,0.0,,7825.0,,-1951.0,0.0,,,,940.0,,,0.0,,790.0,,775.0,23602.0,7000.0,7000.0,0.0,,7000.0,,-1951.0,19527.0,19000.0,,,,,,10603.0,,-655.0,,,,,310.0,,,,0.0,,,,2513.0,,-4477.0,2500.0,,16531.0,,,,2113139.0,-13985.0,,0.0,,48829.0,,48829.0,,,-115.0,,,,,,,-31303.0,0
5,7825,,16109.0,,2375.0,21227.0,23602.0,13985.0,,,,,,-10486.0,,,,75000000.0,2417650.0,,0.001,188.0,0.0,655.0,-936.0,-5906.0,-30265.0,,,,,5906.0,-5906.0,0.0,,,0.0,,3497.0,2312.0,-2465.0,,-5906.0,0.0,0.0,,,,-1951.0,0.0,,,,,,,0.0,,6462.0,,20225.0,,7000.0,7000.0,,-37000.0,,-10726.0,-5906.0,,,-2741.0,,,,-3216.0,3497.0,,,,,3000.0,,1240.0,,,,18000.0,2552.0,,,2375.0,,-1925.0,16835.0,,16531.0,,,2037163.0,10792090.0,,,,0.0,48829.0,,48829.0,19277.0,0.21,-16.0,0.0,,,,,,-16448.0,0
6,7825,,,,,,,,,,-1951.0,,-1951.0,,,,0.001,,,2528900.0,,1685.0,,,936.0,,-5906.0,,,,,5906.0,-5906.0,,,,,,17000.0,15150.0,-18746.0,-9361.0,-5906.0,,,,-1365.0,,-1951.0,,,,,,,,,,,,,23832.0,,,,,,10726.0,-2105.0,,19000.0,-10486.0,,-15220.0,,-4402.0,17000.0,-3240.0,,,,,,,,,,,-6305.0,,,,,,,,16531.0,,,,12644500.0,-13985.0,,0.0,,,,,13985.0,,,,,0.0,,,,-34358.0,0
7,7825,,20383.0,,9550.0,14282.0,23832.0,3259.0,,,,,,,,,0.001,75000000.0,2529.0,2528900.0,0.001,,0.0,2169.0,,,-5906.0,,,,,,-5906.0,,,,,,,,-5906.0,,-5906.0,0.0,0.0,,,,-1951.0,,,,,-5380.0,,,0.0,,4771.0,,,23832.0,23832.0,7300.0,,,,-30984.0,0.0,23912.0,,-10046.0,,-2015.0,,-1185.0,,,,,,,,7560.0,,,,29829.0,-32399.0,,,9550.0,,-6380.0,9485.0,,,,,2113139.0,2528900.0,,,,,,,,23113.0,0.21,-9127.0,,,0.0,,,,-3245.0,0
8,7825,,20383.0,,23832.0,23832.0,,1001.0,840.0,,15034.0,,-1951.0,,,,0.001,75000000.0,2528900.0,2528900.0,2529.0,536.0,,5276.0,0.0,,-5906.0,,,,,5906.0,-5906.0,,0.0,,,,6397.0,8949.0,-9361.0,-32399.0,,,0.0,,1415.0,,,,,,,0.0,,,0.0,,,,,23832.0,7300.0,,,,,-43814.0,0.0,-1951.0,0.0,0.0,,-2105.0,,,6397.0,-2465.0,,,,,,,,,,,36286.0,,,,,-6380.0,,,5906.0,,,,12644500.0,0.0,,,,,,,,,,,,0.0,,,,,0
9,6460,,20383.0,,23832.0,23832.0,,0.0,,,-10726.0,,-1951.0,,,,,,2528900.0,,2529.0,3375.0,,,,,,,,,,5906.0,0.0,,0.0,,,,30265.0,23960.0,-32399.0,-13652.0,-5906.0,,0.0,,-7528.0,,,,,,,,,,,,,,,0.0,7300.0,,,,,0.0,,-1951.0,29829.0,,,,,,30265.0,-12840.0,,,,,,,,,,,-297.0,,,,,-6380.0,0.0,,0.0,,,,,0.0,,0.0,,48829.0,,,,,,,,0.0,,,,,0
