,0
A - Agilent Technologies Inc. Common Stock,A
AA - Alcoa Corporation Common Stock ,AA
AAC - Ares Acquisition Corporation Class A Ordinary Shares,AAC
AACG - ATA Creativity Global American Depositary Shares,AACG
AACI - Armada Acquisition Corp. I Common Stock,AACI
AACIW - Armada Acquisition Corp. I Warrant,AACIW
AACT - Ares Acquisition Corporation II Class A Ordinary Shares,AACT
AADI - Aadi Bioscience Inc. Common Stock,AADI
AAIC - Arlington Asset Investment Corp Class A (new),AAIC
AAIC^B - Arlington Asset Investment Corp 7.00% ,AAIC^B
AAIC^C - Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,AAIC^C
AAIN - Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,AAIN
AAL - American Airlines Group Inc. Common Stock,AAL
AAM^A - Apollo Asset Management Inc. 6.375% Series A Preferred Stock,AAM^A
AAM^B - Apollo Asset Management Inc. 6.375% Series B Preferred Stock,AAM^B
AAMC - Altisource Asset Management Corp Com,AAMC
AAME - Atlantic American Corporation Common Stock,AAME
AAN - Aarons Holdings Company Inc. Common Stock ,AAN
AAOI - Applied Optoelectronics Inc. Common Stock,AAOI
AAON - AAON Inc. Common Stock,AAON
AAP - Advance Auto Parts Inc.,AAP
AAPL - Apple Inc. Common Stock,AAPL
AAT - American Assets Trust Inc. Common Stock,AAT
AAU - Almaden Minerals Ltd. Common Shares,AAU
AB - AllianceBernstein Holding L.P.  Units,AB
ABBV - AbbVie Inc. Common Stock,ABBV
ABC - AmerisourceBergen Corporation Common Stock,ABC
ABCB - Ameris Bancorp Common Stock,ABCB
ABCL - AbCellera Biologics Inc. Common Shares,ABCL
ABCM - Abcam plc American Depositary Shares,ABCM
ABEO - Abeona Therapeutics Inc. Common Stock,ABEO
ABEV - Ambev S.A. American Depositary Shares (Each representing 1 Common Share),ABEV
ABG - Asbury Automotive Group Inc Common Stock,ABG
ABIO - ARCA biopharma Inc. Common Stock,ABIO
ABM - ABM Industries Incorporated Common Stock,ABM
ABNB - Airbnb Inc. Class A Common Stock,ABNB
ABOS - Acumen Pharmaceuticals Inc. Common Stock,ABOS
ABR - Arbor Realty Trust Common Stock,ABR
ABR^D - Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,ABR^D
ABR^E - Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,ABR^E
ABR^F - Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,ABR^F
ABSI - Absci Corporation Common Stock,ABSI
ABST - Absolute Software Corporation Common Stock,ABST
ABT - Abbott Laboratories Common Stock,ABT
ABUS - Arbutus Biopharma Corporation Common Stock,ABUS
ABVC - ABVC BioPharma Inc. Common Stock,ABVC
AC - Associated Capital Group Inc. Common Stock,AC
ACA - Arcosa Inc. Common Stock ,ACA
ACAB - Atlantic Coastal Acquisition Corp. II Class A Common Stock,ACAB
ACABU - Atlantic Coastal Acquisition Corp. II Unit,ACABU
ACABW - Atlantic Coastal Acquisition Corp. II Warrant,ACABW
ACAC - Acri Capital Acquisition Corporation Class A Common Stock,ACAC
ACACU - Acri Capital Acquisition Corporation Unit,ACACU
ACACW - Acri Capital Acquisition Corporation Warrant,ACACW
ACAD - ACADIA Pharmaceuticals Inc. Common Stock,ACAD
ACAH - Atlantic Coastal Acquisition Corp. Class A Common Stock,ACAH
ACAHU - Atlantic Coastal Acquisition Corp. Unit,ACAHU
ACAHW - Atlantic Coastal Acquisition Corp. Warrant,ACAHW
ACAQ - Athena Consumer Acquisition Corp. Class A Common Stock,ACAQ
ACAX - Alset Capital Acquisition Corp. Class A Common Stock,ACAX
ACAXR - Alset Capital Acquisition Corp. Right,ACAXR
ACAXU - Alset Capital Acquisition Corp. Unit,ACAXU
ACB - Aurora Cannabis Inc. Common Shares,ACB
ACBAU - Ace Global Business Acquisition Limited Unit,ACBAU
ACBAW - Ace Global Business Acquisition Limited Warrant,ACBAW
ACCD - Accolade Inc. Common Stock,ACCD
ACCO - Acco Brands Corporation Common Stock,ACCO
ACDC - ProFrac Holding Corp. Class A Common Stock,ACDC
ACDCW - ProFrac Holding Corp. Warrant,ACDCW
ACEL - Accel Entertainment Inc. ,ACEL
ACER - Acer Therapeutics Inc. Common Stock (DE),ACER
ACET - Adicet Bio Inc. Common Stock ,ACET
ACGL - Arch Capital Group Ltd. Common Stock,ACGL
ACGLN - Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,ACGLN
ACGLO - Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,ACGLO
ACGN - Aceragen Inc. Common Stock,ACGN
ACHC - Acadia Healthcare Company Inc. Common Stock,ACHC
ACHL - Achilles Therapeutics plc American Depositary Shares,ACHL
ACHR - Archer Aviation Inc. Class A Common Stock,ACHR
ACHV - Achieve Life Sciences Inc. Common Shares,ACHV
ACI - Albertsons Companies Inc. Class A Common Stock,ACI
ACIU - AC Immune SA Common Stock,ACIU
ACIW - ACI Worldwide Inc. Common Stock,ACIW
ACLS - Axcelis Technologies Inc. Common Stock,ACLS
ACLX - Arcellx Inc. Common Stock,ACLX
ACM - AECOM Common Stock,ACM
ACMR - ACM Research Inc. Class A Common Stock,ACMR
ACN - Accenture plc Class A Ordinary Shares (Ireland),ACN
ACNB - ACNB Corporation Common Stock,ACNB
ACNT - Ascent Industries Co. Common Stock,ACNT
ACON - Aclarion Inc. Common Stock,ACON
ACONW - Aclarion Inc. Warrant,ACONW
ACOR - Acorda Therapeutics Inc. Common Stock,ACOR
ACP - abrdn Income Credit Strategies Fund Common Shares,ACP
ACP^A - abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,ACP^A
ACR - ACRES Commercial Realty Corp. Common Stock,ACR
ACR^C - ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,ACR^C
ACR^D - ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,ACR^D
